dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vn_mds,cluster_1,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.7028824833702881,0.4822222222222223,0.4368070953436807,rouge-score,2,0,max_mean_rouge2_rougeL,1698,449,1,9.74570962996222,3,1,"Đảng đối lập Cứu quốc Campuchia (CNRP) đã bắt đầu một đợt biểu tình kéo dài ba ngày tại thủ đô Phnom Penh từ ngày 23 đến ngày 25/10/2013. Cuộc biểu tình được tổ chức nhằm đòi công lý cho các cử tri trước kết quả bầu cử quốc hội bất thường vào tháng 7 và yêu cầu thành lập một ủy ban độc lập để điều tra sai phạm. Lãnh đạo CNRP, bao gồm chủ tịch Sam Rainsy, tuyên bố mục tiêu của hoạt động này là thúc đẩy cải cách bầu cử trong tương lai với một cơ chế đáng tin cậy hơn.

Phe đối lập dự kiến quy tụ khoảng 40.000 người từ 24 tỉnh thành tham gia, tuy nhiên chính quyền chỉ cho phép tối đa 10.000 người tuần hành. Trong lộ trình biểu tình, các lực lượng ủng hộ đối lập sẽ diễu hành đến Văn phòng Cao ủy nhân quyền Liên Hợp Quốc và các đại sứ quán của các nước như Mỹ, Pháp, Anh, Australia, Nhật Bản và Trung Quốc để trao kiến nghị, yêu cầu các tổ chức quốc tế và chính phủ nước ngoài không công nhận chính phủ đương nhiệm.

Bối cảnh cuộc biểu tình diễn ra khi Quốc hội và Chính phủ mới của Thủ tướng Hun Sen đã ra mắt tròn một tháng, bất chấp việc phe đối lập tẩy chay và yêu cầu tẩy chay họp quốc hội. Để đảm bảo an ninh, chính quyền đã triển khai hàng nghìn cảnh sát chống bạo động tại các địa điểm trọng yếu. Mặc dù một số cuộc biểu tình trước đó đã xảy ra bạo động làm một người chết, không khí tại Phnom Penh trong đợt này được ghi nhận là khá yên bình do có cam kết hợp tác giữa chính quyền và phe đối lập để tránh bạo lực. Trong khi đó, nhiều quốc gia vẫn gửi lời chúc mừng tới chính phủ mới của Campuchia, và các tổ chức tài chính quốc tế dự báo kinh tế nước này sẽ tiếp tục tăng trưởng ổn định từ 7-7,2% trong năm nay và năm tới."
vn_mds,cluster_10,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.817946505608283,0.5272255834053587,0.4020707506471096,rouge-score,2,0,max_mean_rouge2_rougeL,3150,464,1,7.667453662957996,3,1,"Chính phủ Nhật Bản đã phê chuẩn kế hoạch cho phép Lực lượng Tự vệ trên không bắn hạ các máy bay không người lái (UAV) nước ngoài xâm phạm không phận của nước này, một động thái được Thủ tướng Shinzo Abe chấp thuận sau báo cáo của Bộ trưởng Quốc phòng Itsunori Onodera vào ngày 11/10. Quyết định này nhằm đáp trả vụ việc một UAV quân sự của Trung Quốc xâm nhập vào vùng nhận biết phòng không Nhật Bản và tiến tới quần đảo Senkaku/Điếu Ngư vào ngày 9/9. Nhật Bản cho rằng các UAV do Trung Quốc phát triển hiện nay được trang bị hệ thống camera và radar tối tân, có khả năng nhận biết được các cảnh báo của Nhật Bản, do đó cần áp dụng biện pháp cưỡng chế tương tự như đối với máy bay có người lái.

Để tăng cường năng lực phòng thủ, Nhật Bản đang xây dựng đường băng thứ hai tại sân bay Naha, dự kiến hoàn thành vào tháng 1/2014, nhằm tăng số lần cất cánh khẩn cấp của máy bay chiến đấu F-15 lên 14.805 lần mỗi năm (tăng 60%). Ngoài ra, Nhật Bản cũng triển khai tàu tuần tra cỡ lớn 3.100 tấn tại thành phố Naha để bảo vệ vùng biển xung quanh đảo Senkaku.

Phía Trung Quốc phản ứng gay gắt trước các động thái của Nhật Bản. Phát ngôn viên Bộ Ngoại giao Trung Quốc Hua Chunying cáo buộc Nhật Bản sử dụng ""mối đe dọa bên ngoài"" làm cái cớ để tăng cường năng lực quân sự và gây căng thẳng khu vực. Trung Quốc khẳng định đảo Điếu Ngư là lãnh thổ của họ và tuyên bố sẽ đáp trả bất kỳ hành động gây hấn nào. Ngược lại, Nhật Bản khẳng định chủ quyền vốn có đối với đảo Senkaku, cho rằng không tồn tại tranh chấp chủ quyền và kiên quyết sử dụng các biện pháp cứng rắn để bảo vệ lãnh thổ. Căng thẳng giữa hai nước đã leo thang đáng kể kể từ khi Nhật Bản quốc hữu hóa đảo Senkaku vào tháng 9/2012."
vn_mds,cluster_100,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.723338485316847,0.41860465116279066,0.41112828438948995,rouge-score,2,1,max_mean_rouge2_rougeL,3729,381,1,6.525633880984969,4,1,"Đội tuyển U23 Việt Nam đã giành chiến thắng 3-1 trước U23 Myanmar trong trận giao hữu lượt về tại sân vận động Thuwana, Yangon. Trận đấu diễn ra trong bối cảnh có các vụ nổ bom xảy ra tại một số địa điểm ở Yangon trước đó, nhưng đoàn thể thao Việt Nam vẫn được đảm bảo an ninh.

Trong hiệp một, hai đội nhập cuộc với sự quyết tâm cao. Phút 26 (hoặc 27), tiền đạo Mạc Hồng Quân có cơ hội nhưng bóng trúng xà ngang. Ngay sau đó, U23 Myanmar mở tỷ số 1-0 nhờ tình huống phạt đền sau khi Ngọc Hải phạm lỗi trong vòng cấm. Ở hiệp hai, HLV Hoàng Văn Phúc thay người đưa Văn Quyết và Quang Hùng vào sân, giúp U23 Việt Nam kiểm soát thế trận tốt hơn. Phút 52, Văn Quyết ghi bàn gỡ hòa 1-1. Đến phút 80, sau tình huống Phi Sơn tạt ngang, hậu vệ Zaw Min Tun của chủ nhà tự đá phản lưới nhà nâng tỷ số lên 2-1. Phút 86, Quang Hùng thực hiện thành công quả phạt đền để ấn định chiến thắng 3-1.

Kết quả này giúp U23 Việt Nam đạt được chuỗi 8 trận bất bại liên tiếp trong quá trình chuẩn bị cho SEA Games 27. Sau chuyến du đấu, đội tuyển sẽ trở về TP.HCM vào ngày 17-10 để chuẩn bị cho giải BTV Cup tại Bình Dương, diễn ra từ ngày 25-10 đến 3-11, trước khi chính thức tham dự SEA Games 27 vào tháng 12 năm 2013."
vn_mds,cluster_101,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.7941176470588235,0.4986595174262735,0.41978609625668445,rouge-score,2,1,max_mean_rouge2_rougeL,2075,325,1,5.280100952018984,3,1,"Bộ Y tế đã lên án gay gắt và bày tỏ sự đau lòng trước vụ việc nạn nhân Lê Thị Thanh Huyền tử vong tại Thẩm mỹ viện Cát Tường (địa chỉ tại 45 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội) do hành vi của bác sĩ Nguyễn Mạnh Tường. Ông Tường là viên chức thuộc khoa Ngoại của Bệnh viện Bạch Mai, người trực tiếp liên quan đến vụ việc và bị dẫn giải đến nơi vứt xác nạn nhân. Thẩm mỹ viện Cát Tường được xác định là cơ sở không có giấy phép hoạt động hành nghề phẫu thuật thẩm mỹ. Vụ việc xảy ra vào thời gian ngoài giờ hành chính trong ngày nghỉ cuối tuần và được đánh giá là có tính chất đặc biệt nghiêm trọng.

Bộ Y tế đã chỉ đạo Bệnh viện Bạch Mai và Bệnh viện E phối hợp cung cấp thông tin về nhân thân, quá trình công tác của bác sĩ Nguyễn Mạnh Tường cho cơ quan điều tra, đồng thời xem xét đình chỉ công tác tạm thời đối với ông Tường trong thời gian điều tra. Bộ Y tế cũng gửi công văn khẩn đề nghị UBND TP Hà Nội chỉ đạo Sở Y tế và các cơ quan chức năng tích cực nắm bắt tình hình, cung cấp thông tin và phối hợp chặt chẽ với cơ quan điều tra để xử lý nghiêm theo pháp luật. Đồng thời, Bộ Y tế yêu cầu Cục Quản lý Khám chữa bệnh và các đơn vị liên quan tăng cường rà soát, thanh tra các cơ sở thẩm mỹ trên toàn quốc."
vn_mds,cluster_102,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.8163884673748103,0.6149162861491627,0.5189681335356601,rouge-score,2,0,max_mean_rouge2_rougeL,1698,316,1,5.0820608109934255,3,1,"Chiều ngày 4/11, Công an TP Thủ Dầu Một (tỉnh Bình Dương) đã tổ chức công bố công khai quyết định xử phạt hành chính đối với 27 đối tượng có hành vi đua xe trái phép, lạng lách, đánh võng và cổ vũ đua xe gây mất an toàn giao thông. Trước đó, vào đêm 18 và 19/9, lực lượng chức năng đã tuần tra trên tuyến Quốc lộ 13 (đoạn qua phường Phú Thọ và Phú Hòa) và bắt giữ được 10 đối tượng cùng các phương tiện liên quan. Qua mở rộng điều tra, cơ quan công an xác định đây là nhóm thanh niên thường xuyên tụ tập tổ chức đua xe với các phương tiện đã được cải tiến như xoáy nòng, đôn ""dên"".

Tổng số tiền xử phạt đối với 27 đối tượng là gần 150 triệu đồng. Trong đó, 5 đối tượng trực tiếp tham gia đua xe bị phạt 76 triệu đồng; 17 đối tượng có hành vi chạy xe thành đoàn gây cản trở giao thông và 5 đối tượng tham gia cổ vũ đua xe bị phạt tổng cộng 72 triệu đồng. Cơ quan chức năng đã quyết định tịch thu xe của 3 đối tượng. Ngoài việc xử phạt, Công an TP Thủ Dầu Một yêu cầu phụ huynh và chính quyền địa phương tăng cường quản lý, giáo dục con em để răn đe các hành vi vi phạm an toàn giao thông."
vn_mds,cluster_103,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.681536555142503,0.41987577639751544,0.3444857496902107,rouge-score,2,1,max_mean_rouge2_rougeL,2742,425,1,6.950054401997477,3,1,"Sáng ngày 21.10, tại quận Gò Vấp, TP.HCM, ông Vương Chí Linh (67 tuổi) đã tạt axit vào người vợ cũ là bà Nguyễn Thị T.V. trước khi tự thiêu tại căn nhà số 28 đường số 3, phường 7. Bà V. bị phỏng nặng và được đưa đi cấp cứu, trong khi ông Linh tử vong tại hiện trường sau khi viết thư tuyệt mệnh và tưới xăng tự thiêu.

Mối quan hệ giữa ông Linh và bà V. bắt đầu bằng một cuộc hôn nhân sau nhiều năm tìm hiểu. Tuy nhiên, xung đột nảy sinh từ việc phân chia tài sản. Ông Linh cho biết bà V. đã thuyết phục ông ký các hợp đồng tặng cho toàn bộ số nhà đất trị giá khoảng 30 tỷ đồng với lý do để bà an tâm chăm sóc ông những năm cuối đời. Sau khi nhận tài sản, bà V. ly hôn và không cho ông ở lại căn nhà, đồng thời giữ riêng số tiền 2 tỷ đồng từ việc bán một căn nhà tại quận 9 và không hoàn trả chi phí sửa chữa nhà trị giá hơn 550 triệu đồng.

Ông Linh bày tỏ sự phẫn uất trước các bản án của Tòa án nhân dân quận Gò Vấp, đặc biệt là phiên tòa sơ thẩm ngày 18.8.2010. Ông tố cáo biên bản phiên tòa bị làm giả vì không có thư ký ghi chép nhưng vẫn có chữ ký xác nhận, đồng thời cho rằng tòa án không giải quyết thỏa đáng các khiếu nại của ông về việc bà V. có hành vi lừa đảo và phân chia tài sản không công bằng. Trước khi tự sát, ông Linh để lại di chúc định tặng phần lớn tài sản cho các cơ sở từ thiện và để lại cổ phiếu cho cháu ngoại. Ông cho rằng hành động của mình là kết quả của sự tuyệt vọng khi mất niềm tin vào công lý và tình người sau những biến cố về tài sản và hôn nhân."
vn_mds,cluster_104,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.7780748663101604,0.453083109919571,0.4358288770053476,rouge-score,2,0,max_mean_rouge2_rougeL,1861,307,1,4.9691646720748395,3,1,"Cơ quan CSĐT Công an huyện Lý Nhân (tỉnh Hà Nam) đã khởi tố vụ án và tạm giữ hình sự đối tượng Phan Văn Sáng (sinh năm 1988) về tội cố ý gây thương tích. Vào khoảng 7h sáng ngày 27/10, do uất ức vì yêu cầu nhượng lại phần đất nơi chị Trần Thị Quyên (sinh năm 1983) kinh doanh hiệu thuốc không được chấp thuận, Phan Văn Sáng đã dùng búa đập tường và hắt chai xăng 1,5 lít vào quầy thuốc rồi bật lửa đốt. Vụ việc khiến chị Quyên cùng hai khách hàng là bà Trần Thị Bảy (sinh năm 1936) và bà Trần Thị Mai (sinh năm 1953 hoặc 1957) bị bỏng nặng. Nhờ người dân kịp thời dùng cát và nước dập tắt đám cháy ngay gần trục đường chính, các nạn nhân may mắn thoát chết và được đưa đến Bệnh viện Bỏng Trung ương để điều trị. Kết quả giám định thương tích tạm thời cho thấy chị Quyên bị tổn hại sức khỏe 12%, bà Bẩy bị tổn hại 52% và bà Mai bị tổn hại 17%. Nguyên nhân vụ việc xuất phát từ mâu thuẫn tranh chấp đất đai khi đối tượng Sáng muốn có đất để mở hiệu thuốc sau khi tốt nghiệp trường Trung cấp Dược Hà Nam."
vn_mds,cluster_105,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.7023661270236612,0.44694132334581776,0.35616438356164387,rouge-score,2,0,max_mean_rouge2_rougeL,1891,468,1,7.504094721982256,3,1,"Gia đình chị Kê tại TP. Cà Mau đã tổ chức một cuộc tuần hành mang di ảnh, lư hương và băng rôn đến trụ sở Tỉnh ủy, UBND tỉnh Cà Mau để khiếu nại về cái chết của chị. Gia đình cho rằng chị Kê không tự tử mà bị chồng là Trương Văn My (38 tuổi) sát hại, trong khi kết quả giám định pháp y của Công an tỉnh Cà Mau khẳng định nguyên nhân tử vong là do ngạt thở cơ học (treo cổ).

Vụ việc bắt đầu từ ngày 20-9 khi anh My phát hiện chị Kê tử vong. Sau đó, gia đình chị Kê yêu cầu khai quật mộ để khám nghiệm tử thi. Ngày 4-10, hội đồng khám nghiệm kết luận chị Kê tử vong do treo cổ, và vào ngày 10-10, cơ quan chức năng quyết định không khởi tố vụ án hình sự. Không đồng ý với kết luận này, ông Đoàn Văn Tòng (cha chị Kê) đã đập mồ và định mang thi hài đi khiếu kiện vào ngày 26-10. Chính quyền địa phương đã hướng dẫn gia đình yêu cầu giám định tại cơ quan pháp y trung ương, và gia đình đã chọn cơ quan pháp y của Bộ Quốc phòng.

Trong quá trình khiếu kiện vào sáng 31-10, nhóm người thân của chị Kê đã gây rối trật tự công cộng tại trụ sở Ban Tiếp dân tỉnh. Công an TP. Cà Mau đã tạm giữ 19 người, trong đó 9 người bị bắt về hành vi gây rối. Hiện tại, ông Tòng và bà Trương Thị Em (65 tuổi) đã được cho về, trong khi Đoàn Văn Xuyên (32 tuổi) và Trương Văn Được (38 tuổi) bị tạm giữ hình sự. 15 người còn lại đang được lấy lời khai để xử lý. Đại tá Trương Ngọc Danh, Trưởng Công an TP. Cà Mau, cho biết nhóm người này đã thay đổi nội dung khiếu kiện nhiều lần, từ việc tố cáo chồng chị Kê giết người sang tố cáo công an đánh người và đòi thả những người bị bắt."
vn_mds,cluster_106,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.6382978723404255,0.4499178981937602,0.3829787234042554,rouge-score,2,1,max_mean_rouge2_rougeL,1597,347,1,5.5516528360312805,3,1,"Vào khoảng 12h30 ngày 1/11, một vụ tai nạn giao thông nghiêm trọng đã xảy ra trên quốc lộ 1A, đoạn cách cầu vượt Bình Phước khoảng 200 mét (phường Hiệp Bình Phước, quận Thủ Đức, TP.HCM). Anh Nguyễn Thanh Tùng (35 tuổi, quê An Giang) đang đi bộ trên quốc lộ 1A và trong lúc đang nghe điện thoại đã bất ngờ băng ngang qua đường tại vị trí không có vạch kẻ cho người đi bộ. Tại thời điểm đó, một xe tải nặng mang biển kiểm soát 95T - 1199 do tài xế Dương Bình Hải (30 tuổi, quê Hậu Giang) điều khiển đang lưu thông theo hướng từ cầu vượt trạm 2 về An Sương đã lao tới và tông trực diện vào nạn nhân. Cú va chạm mạnh khiến anh Tùng tử vong tại chỗ.

Lực lượng CSGT quận Thủ Đức đã có mặt để điều tra, xác minh và xử lý hiện trường. Đến gần 15h cùng ngày, thi thể nạn nhân được xe cứu thương đưa đi và hiện trường được giải quyết xong. Người dân tại khu vực phản ánh tình trạng người đi bộ băng qua đường không tuân thủ luật giao thông thường xuyên xảy ra, đồng thời xe tải đổ dốc từ cầu vượt xuống với tốc độ nguy hiểm. Ngoài ra, các tài liệu cũng đề cập đến một vụ tai nạn khác xảy ra vào trưa ngày 26/10 tại quận Bình Thạnh, nơi một thanh niên bị tàu hỏa tông trúng do thiếu tập trung khi đang nghe điện thoại."
vn_mds,cluster_107,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.708029197080292,0.48717948717948717,0.4489051094890511,rouge-score,2,1,max_mean_rouge2_rougeL,1271,271,1,4.343538151937537,3,1,"Trưa ngày 1/11, người dân tại khu vực giáp ranh giữa hai xã Hải Ninh và Hải An, huyện Tĩnh Gia, tỉnh Thanh Hóa, phát hiện xác một con cá voi khổng lồ dạt vào bờ khi thủy triều rút. Con cá có chiều dài trên 10 mét, đường kính vòng ngực khoảng 2,5 mét và nặng nhiều tấn. Do đang trong quá trình phân hủy mạnh, xác cá bốc mùi nặng và đã bị mất phần đầu và đuôi.

Nhiều ngư dân cho biết họ đã thấy một vật lạ trôi lập lờ trên mặt nước ngoài khơi từ vài ngày trước. Một số người dân ban đầu lầm tưởng vật thể khổng lồ trên bờ là xác máy bay trước khi nhận ra đó là một loài cá lớn. Theo quan niệm của người dân địa phương, đây là loài cá quý hiếm và linh thiêng.

Chính quyền địa phương, bao gồm Phòng Nông nghiệp và Phòng Tài nguyên Môi trường huyện Tĩnh Gia, đã đến hiện trường để xác minh nguyên nhân cái chết và lên phương án xử lý. Do tình trạng phân hủy nhanh, cơ quan chức năng cho biết sẽ sớm tiến hành các thủ tục làm lễ và chôn cất xác cá voi trong thời gian sớm nhất."
