dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vn_mds,cluster_1,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7569331158238173,0.4288052373158756,0.4274061990212072,rouge-score,2,0,max_mean_rouge2_rougeL,1926,222,1,5.718289794051088,5,1,"Đảng đối lập Cứu quốc Campuchia (CNRP) đã tổ chức cuộc biểu tình kéo dài ba ngày tại thủ đô Phnom Penh nhằm đòi công lý cho cử tri trước kết quả bầu cử quốc hội bất thường vào tháng 7 và thúc đẩy cải cách bầu cử trong tương lai. Ước tính khoảng 5.000 người đã tham gia diễu hành với các biểu ngữ yêu cầu điều tra sự thật, trong khi phe đối lập dự kiến quy tụ tới 40.000 người nhưng chính quyền chỉ cho phép tối đa 10.000 người tham gia. Đoàn biểu tình có kế hoạch di chuyển đến văn phòng nhân quyền Liên Hiệp Quốc và các đại sứ quán nước ngoài như Anh, Pháp, Mỹ, Úc, Nhật để yêu cầu can thiệp vào kết quả bầu cử. Dù các cuộc biểu tình trước đó từng xảy ra bạo động gây thương vong, không khí tại thủ đô hiện khá yên bình nhờ cam kết hợp tác giữa chính quyền và phe đối lập để ngăn chặn bạo lực."
vn_mds,cluster_10,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7838827838827839,0.47794117647058826,0.46153846153846156,rouge-score,2,1,max_mean_rouge2_rougeL,4727,236,1,6.3157805860973895,10,1,"Chính phủ Nhật Bản đã phê chuẩn kế hoạch cho phép Lực lượng Tự vệ trên không bắn hạ các máy bay không người lái (UAV) nước ngoài xâm phạm không phận, nhằm đáp trả vụ việc UAV quân sự của Trung Quốc bay gần quần đảo Senkaku/Điếu Ngư vào ngày 9/9. Để tăng cường phòng thủ, Nhật Bản đang xây dựng thêm đường băng tại sân bay Naha để tăng số lần cất cánh của máy bay F-15 lên 14.805 lần/năm và triển khai tàu tuần tra cỡ lớn để bảo vệ vùng biển xung quanh đảo. Trong khi Nhật Bản khẳng định chủ quyền và quyền kiểm soát thực tế đối với đảo Senkaku, Trung Quốc phản đối gay gắt, cáo buộc Nhật Bản lợi dụng ""mối đe dọa"" bên ngoài để tăng cường năng lực quân sự và tuyên bố sẽ đáp trả bất kỳ hành động gây hấn nào. Căng thẳng giữa hai nước tiếp tục leo thang với những va chạm thường xuyên về tàu và máy bay tại khu vực tranh chấp kể từ tháng 9/2012."
vn_mds,cluster_100,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.75,0.4169611307420495,0.3380281690140845,rouge-score,2,1,max_mean_rouge2_rougeL,6615,652,3,13.323259498924017,12,2,"U23 Việt Nam đã giành chiến thắng ấn tượng 3-1 trước U23 Myanmar tại sân vận động Thuwana ở Yangon, kết thúc chuyến du đấu với 2 trận toàn thắng và duy trì chuỗi 8 trận giao hữu bất bại liên tiếp. Dù bị dẫn trước 1-0 ở hiệp một do sai lầm của Đình Hoàng dẫn đến quả phạt đền cho đối thủ, đội tuyển Việt Nam đã lật ngược thế trận nhờ sự thay đổi nhân sự của HLV Hoàng Văn Phúc, đặc biệt là việc tung ""nhạc trưởng"" Văn Quyết vào sân ở hiệp hai. Các cầu thủ U23 Việt Nam liên tiếp ghi 2 bàn thắng ở cuối trận để ấn định tỉ số, với các bàn thắng của Văn Quyết, Hà Minh Tuấn và Quang Hùng. Trước khi trận đấu diễn ra, một loạt vụ nổ bom đã xảy ra tại Yangon, nhưng đoàn thể thao Việt Nam vẫn yên tâm tiếp tục kế hoạch tập huấn để làm quen với điều kiện thi đấu cho SEA Games 27. Sau chuyến du đấu, đội tuyển sẽ trở về TP.HCM vào ngày 17-10 để chuẩn bị cho Cúp bóng đá Bình Dương trước khi chính thức tham dự SEA Games vào tháng 12 năm 2013."
vn_mds,cluster_101,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8105436573311368,0.509090909090909,0.4184514003294893,rouge-score,2,1,max_mean_rouge2_rougeL,2779,218,1,4.840127300936729,8,1,"Bộ Y tế đã lên án hành vi không thể chấp nhận được của bác sĩ Nguyễn Mạnh Tường, viên chức khoa Ngoại Bệnh viện Bạch Mai, liên quan đến vụ việc chị Lê Thị Thanh Huyền tử vong tại Thẩm mỹ viện Cát Tường (địa chỉ tại 45 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội). Vụ việc xảy ra vào ngày nghỉ cuối tuần ngoài giờ hành chính tại cơ sở không có giấy phép hoạt động phẫu thuật thẩm mỹ, với tình tiết nghiêm trọng là bác sĩ đã ném xác bệnh nhân để phi tang. Bộ Y tế đã yêu cầu Bệnh viện Bạch Mai và Bệnh viện E phối hợp với cơ quan điều tra, đồng thời chỉ đạo UBND TP Hà Nội và các đơn vị liên quan tích cực nắm bắt tình hình, cung cấp thông tin và xử lý nghiêm theo pháp luật. Ngoài ra, Bộ Y tế yêu cầu tăng cường thanh tra, rà soát các hoạt động phẫu thuật thẩm mỹ trên toàn quốc để đảm bảo quản lý nhà nước về y tế."
vn_mds,cluster_102,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7688442211055276,0.4898989898989899,0.5125628140703518,rouge-score,2,1,max_mean_rouge2_rougeL,1043,197,1,4.103393040946685,5,1,"Chiều 4/11, Đội Cảnh sát giao thông Công an TP Thủ Dầu Một (tỉnh Bình Dương) đã công bố quyết định xử phạt hành chính đối với 27 đối tượng có hành vi đua xe trái phép, lạng lách, đánh võng và tổ chức cổ vũ đua xe gây mất an toàn giao thông. Trước đó, trong hai đêm 18 và 19/10, lực lượng chức năng phối hợp tuần tra trên tuyến Quốc lộ 13 (phường Phú Thọ) đã truy bắt được 10 đối tượng trong nhóm thanh niên thường xuyên tụ tập đua xe, đồng thời tịch thu 3 phương tiện vi phạm. Thượng tá Nguyễn Xuân Hoàng, Phó công an TP Thủ Dầu Một, cho biết việc xử lý này nhằm răn đe các hành vi vi phạm và nhắc nhở phụ huynh chú trọng quản lý việc mua sắm, đi lại của con em."
vn_mds,cluster_103,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7518796992481203,0.3224181360201511,0.3408521303258146,rouge-score,2,0,max_mean_rouge2_rougeL,4635,165,1,5.279164221021347,10,1,"Sáng ngày 21.10, tại quận Gò Vấp, TP.HCM, ông Vương Chí Linh (67 tuổi) đã dùng axit tạt vào người vợ cũ là bà Nguyễn Thị T.V. trước khi vào nhà tự thiêu và tử vong. Bi kịch bắt nguồn từ việc ông Linh cho rằng bà V. đã lừa đảo để chiếm đoạt tài sản trị giá khoảng 30 tỷ đồng và đẩy ông vào cảnh không chốn dung thân sau khi ly hôn. Ông Linh từng tố cáo tòa án xử ép và không giải quyết thỏa đáng các khiếu nại của mình về việc phân chia tài sản chung. Trước khi tự sát, ông để lại thư tuyệt mệnh và di chúc với nguyện vọng dành phần lớn tài sản cho các cơ sở từ thiện."
vn_mds,cluster_104,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7186932849364791,0.41530054644808745,0.3774954627949183,rouge-score,2,1,max_mean_rouge2_rougeL,2682,207,1,4.708082232973538,5,1,"Ngày 30/10, Công an huyện Lý Nhân (tỉnh Hà Nam) đã khởi tố bị can Phan Văn Sáng (SN 1988) về tội cố ý gây thương tích sau khi đối tượng này phóng hỏa vào quầy bán thuốc của chị Trần Thị Quyên. Do uất ức vì không xin nhượng được phần đất kinh doanh, Sáng đã dùng búa đập tường và tạt xăng vào quầy thuốc vào khoảng 7h sáng ngày 27/10, khiến chị Quyên cùng hai khách hàng là bà Bảy và bà Mai bị bỏng nặng. Nhờ người dân kịp thời dùng cát dập tắt đám cháy, ba nạn nhân đã được đưa đến Bệnh viện Bỏng Trung ương để điều trị với tỷ lệ thương tật lần lượt là 12%, 52% và 17%. Cơ quan chức năng hiện đã bắt tạm giam đối tượng Sáng để tiếp tục điều tra làm rõ vụ việc."
vn_mds,cluster_105,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7395264116575592,0.39488117001828155,0.31693989071038253,rouge-score,2,0,max_mean_rouge2_rougeL,2454,212,1,4.614303140901029,6,1,"Sau khi chị Kê tử vong do treo cổ vào ngày 20-9 sau mâu thuẫn với chồng là anh Trương Văn My, gia đình chị Kê không chấp nhận kết luận của cơ quan pháp y và cho rằng nạn nhân bị sát hại. Dù cơ quan chức năng đã tiến hành khám nghiệm tử thi và quyết định không khởi tố vụ án hình sự, ông Đoàn Văn Tòng (cha chị Kê) vẫn phản đối, dẫn đến việc đập mồ và kéo đi khiếu kiện vào ngày 26-10. Trong quá trình khiếu kiện, một nhóm người đã gây rối trật tự công cộng tại trụ sở các cơ quan chức năng tỉnh Cà Mau, khiến Công an TP Cà Mau tạm giữ 19 người, trong đó có 9 người bị bắt về hành vi gây rối. Hiện gia đình đã chọn cơ quan pháp y của Bộ Quốc phòng để giám định lại, trong khi các đối tượng quá khích đang tiếp tục bị điều tra và xử lý."
vn_mds,cluster_106,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7804878048780488,0.49888641425389757,0.4567627494456763,rouge-score,2,1,max_mean_rouge2_rougeL,1618,221,1,4.854132320033386,5,1,"Vào lúc 12h30 ngày 1-11, một vụ tai nạn nghiêm trọng đã xảy ra trên quốc lộ 1A, đoạn qua khu vực cầu vượt Bình Phước 1 (quận Thủ Đức, TP. Hồ Chí Minh), khiến anh Nguyễn Thanh Tùng (35 tuổi, quê An Giang) tử vong tại chỗ. Nguyên nhân ban đầu cho thấy anh Tùng đang đi bộ băng ngang đường trong tình trạng mải nghe điện thoại nên không quan sát, dẫn đến việc bị xe tải nặng mang BKS 95T-1199 do tài xế Dương Bình Hải (30 tuổi, quê Hậu Giang) đang đổ dốc với tốc độ nguy hiểm tông trực diện. Lực lượng CSGT quận Thủ Đức đã có mặt để điều tra, và thi thể nạn nhân được đưa đi vào khoảng 15h cùng ngày. Người dân tại khu vực phản ánh tình trạng người đi bộ băng qua đường không đúng luật và xe tải đổ dốc tốc độ cao thường xuyên xảy ra tại đoạn đường này."
vn_mds,cluster_107,graphsum,e2a,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8430913348946135,0.5129411764705882,0.4449648711943794,rouge-score,2,1,max_mean_rouge2_rougeL,1471,179,1,3.6292794509790838,4,1,"Trưa ngày 1/11, người dân tại khu vực giáp ranh xã Hải Ninh và Hải An (huyện Tĩnh Gia, Thanh Hóa) phát hiện một xác cá voi nặng nhiều tấn dạt vào bờ khi thủy triều rút. Con cá có kích thước khổng lồ với chiều dài trên 10m, vòng ngực khoảng 2,5m và hiện đang trong quá trình phân hủy mạnh khiến mùi bốc lên rất nặng. Trước đó, một số ngư dân đã nhìn thấy vật thể lạ trôi trên mặt nước ngoài khơi và ban đầu họ lầm tưởng đó là xác máy bay. Chính quyền địa phương hiện đang phối hợp xác minh nguyên nhân cái chết và lên phương án chôn cất, đồng thời người dân dự kiến sẽ làm lễ thắp hương để cầu mong sự phù hộ từ ""cụ cá""."
