dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vims,Cluster_001,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7493670886075949,0.3883248730964467,0.35443037974683544,rouge-score,2,1,max_mean_rouge2_rougeL,17428,952,4,24.03921692003496,33,3,"Chiếc máy bay Airbus A320-232 số hiệu MS804 của hãng EgyptAir chở 66 người, chủ yếu là công dân Ai Cập, đã mất tích và rơi xuống vùng biển Địa Trung Hải vào sáng ngày 19/5 khi đang trên đường bay từ Paris đến Cairo. Tại khu vực gần đảo Karpathos, máy bay bất ngờ thực hiện các cú rẽ ngoặt đột ngột và hạ độ cao từ trên 11.000m xuống dưới 3.000m trước khi biến mất khỏi màn hình radar mà không gửi tín hiệu cầu cứu. Hiện tại, các quốc gia bao gồm Ai Cập, Pháp, Hy Lạp, Mỹ và Canada đang phối hợp điều tra và tìm kiếm mảnh vỡ, trong đó Mỹ đã cử máy bay P-3 Orion hỗ trợ và NATO sẵn sàng can thiệp nếu được yêu cầu. Mặc dù các giả thuyết về lỗi kỹ thuật hoặc hành vi của phi hành đoàn vẫn đang được xem xét, giới chức quốc tế và địa phương hiện đang thiên về giả thuyết máy bay bị tấn công khủng bố, có thể do bom hẹn giờ của nhóm Nhà nước Hồi giáo (IS) hoặc tên lửa đất đối không. Các cơ quan an ninh đang rà soát quy trình an ninh tại các sân bay và điều tra khả năng có sự can thiệp của ""tay trong"". Hãng EgyptAir đã đính chính rằng các mảnh vỡ được tìm thấy trước đó không thuộc về chiếc MS804, do đó chiến dịch tìm kiếm cứu hộ vẫn đang tiếp tục diễn ra."
vims,Cluster_002,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7699316628701595,0.3844393592677346,0.38724373576309795,rouge-score,2,1,max_mean_rouge2_rougeL,2980,202,1,5.088660242967308,7,1,"Bà Hillary Clinton khẳng định bà sẽ trở thành ứng viên đại diện cho đảng Dân chủ tranh cử Tổng thống Mỹ vì đang nắm ưu thế vượt trội với 2.293 phiếu đại biểu so với 1.528 phiếu của đối thủ Bernie Sanders, dù ông Sanders vẫn quyết tâm theo đuổi đến cùng. Trong cuộc phỏng vấn với CNN ngày 19/5, bà Clinton chỉ trích mạnh mẽ ông Donald Trump là người ""vô trách nhiệm, bất cẩn và phát ngôn nguy hiểm"", đồng thời cho rằng ông không đủ tư cách làm tổng thống do các quan điểm gây tranh cãi về NATO, vũ khí hạt nhân và việc cấm người Hồi giáo nhập cảnh. Cùng ngày, bà cũng nhận định vụ rơi máy bay EgyptAir MS804 tại Địa Trung Hải có khả năng là một hành vi khủng bố, nhấn mạnh mối đe dọa từ các nhóm khủng bố có tổ chức đối với an ninh quốc gia."
vims,Cluster_003,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8111332007952285,0.5,0.3777335984095428,rouge-score,2,1,max_mean_rouge2_rougeL,10011,1052,4,21.099082115921192,21,3,"Bà Thái Anh Văn đã chính thức nhậm chức với tư cách là nữ lãnh đạo đầu tiên của Đài Loan vào ngày 20/5, sau chiến thắng áp đảo trước đối thủ Chu Lập Luân của Quốc Dân đảng (KMT) trong cuộc bầu cử tháng 1/2016. Tại buổi lễ tuyên thệ ở Đài Bắc với sự tham dự của gần 700 nguyên thủ và nhà ngoại giao, bà cam kết duy trì hiện trạng hòa bình và yêu cầu Bắc Kinh tôn trọng nền dân chủ của Đài Loan, đồng thời trấn an cộng đồng quốc tế về khả năng xử lý mối quan hệ phức tạp với Trung Quốc.

Trong vai trò mới, bà Thái phải đối mặt với thách thức lớn là vực dậy nền kinh tế đang suy thoái do xuất khẩu giảm mạnh và giải quyết quan hệ nguội lạnh với Trung Quốc. Để ứng phó với sự suy giảm kinh tế, bà dự kiến tập trung vào phát triển bền vững và thúc đẩy chính sách ""hướng Nam"" nhằm tăng cường quan hệ thương mại với các quốc gia Đông Nam Á. Tuy nhiên, các chuyên gia vẫn thận trọng về khả năng các nước ASEAN sẽ đồng hành cùng Đài Loan trong các bước đi mạo hiểm để tránh rắc rối với Bắc Kinh.

Phía Trung Quốc đã phản ứng mạnh mẽ với kết quả bầu cử bằng cách tăng cường áp lực ngoại giao, buộc xuất trục công dân Đài Loan tại Kenya và tổ chức các cuộc tập trận quân sự quy mô lớn tại bờ biển phía đông. Lầu Năm Góc cảnh báo Trung Quốc đang mở rộng năng lực quân sự với các kế hoạch ""đổ bộ xâm chiếm Đài Loan"" phối hợp nhiều binh chủng, mặc dù hiện tại Bắc Kinh chưa đủ khả năng thực hiện do rủi ro can thiệp quốc tế. Sự gia tăng căng thẳng này không chỉ gây khó khăn cho các mục tiêu chính trị của bà Thái mà còn ảnh hưởng trực tiếp đến kinh tế, thể hiện qua sự sụt giảm chỉ số chứng khoán do bất ổn."
vims,Cluster_004,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.6035087719298246,0.36576787807737393,0.3204678362573099,rouge-score,2,0,max_mean_rouge2_rougeL,23400,1303,5,32.24868735100608,54,4,"Hội thảo ""TP. HCM - Khát vọng vươn lên"" do báo Tuổi Trẻ tổ chức đã quy tụ đông đảo lãnh đạo Trung ương, TP. HCM, các chuyên gia và cộng đồng doanh nghiệp để thảo luận về định hướng phát triển của thành phố. Tại sự kiện, Chủ tịch UBND TP. HCM Nguyễn Thành Phong đã tiếp nhận hơn 9.500 ý kiến hiến kế từ người dân và chuyên gia, đồng thời cam kết nỗ lực giải quyết khó khăn để đưa thành phố ngang tầm với các đô thị lớn trong khu vực. Các chuyên gia bày tỏ lo ngại về việc TP. HCM đang bị tụt hậu và mất dần vai trò đầu tàu kinh tế so với các đô thị như Singapore hay Thẩm Quyến do cơ chế ""xin - cho"" gây rào cản, thiếu động lực cho đội ngũ công chức và thiếu các cơ chế vượt trội để khai thác nguồn lực nội tại. Để giải quyết vấn đề này, thành phố cần những đột phá về thể chế và tư duy chiến lược, bao gồm việc hiện đại hóa đô thị theo hướng ""ly tâm"", phát triển bán đảo Thủ Thiêm thành trung tâm tài chính quốc tế và xây dựng hệ thống giao thông công cộng công suất lớn. Thành phố đặt mục tiêu bứt phá để trở thành động lực tăng trưởng thực sự cho cả nước, đạt chất lượng sống văn minh, hiện đại vào năm 2045 thông qua 7 chương trình đột phá tập trung vào chất lượng nhân lực, cải cách hành chính và giải quyết hạ tầng. Để thực hiện, thành phố cần cơ chế chính sách vượt trội từ trung ương, mô hình đối tác công tư (PPP) nhằm bù đắp khoảng thiếu hụt 85.000 tỷ đồng vốn ngân sách, đồng thời kiến nghị cải cách cơ chế quản lý cán bộ và thu hút nguồn lực từ cộng đồng người Hoa. Dù nhận được nhiều kỳ vọng về sự chuyển mình mạnh mẽ, hội thảo cũng thẳng thắn chỉ ra các hạn chế trong công tác tổ chức thực hiện, tình trạng ""đầu voi đuôi chuột"" và sự thiếu đồng bộ trong liên kết giữa chính quyền với người dân."
vims,Cluster_005,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7270194986072424,0.4608938547486034,0.49303621169916434,rouge-score,2,0,max_mean_rouge2_rougeL,6448,733,3,14.173705458990298,15,2,"Hội Nghề cá Việt Nam vừa gửi công văn đề nghị Chính phủ và các bộ ngành đẩy nhanh tiến độ xác định nguyên nhân cá chết hàng loạt tại các tỉnh Bắc miền Trung (từ Hà Tĩnh đến Thừa Thiên - Huế) xảy ra từ tháng 4 đến tháng 5 năm 2016. Hội bày tỏ lo ngại rằng việc chậm trễ công bố kết quả sẽ khiến chất độc trong trầm tích ở đáy biển bị pha loãng dần, đồng thời các mẫu cá chết lưu tại phòng kiểm nghiệm đã hết hạn và sắp bị tiêu hủy, gây khó khăn lớn cho việc truy tìm nguyên nhân chính xác. Do hiện tại người dân vẫn chưa thể đánh bắt hoặc nuôi trồng thủy sản, Hội đề nghị tiếp tục hỗ trợ 15 kg gạo/tháng/người cho các hộ dân bị thiệt hại cùng các chính sách tài chính cho đến khi sản xuất phục hồi. Đồng thời, Hội yêu cầu xử lý nghiêm và yêu cầu các đối tượng gây ra thiệt hại (nếu do con người) phải chịu trách nhiệm pháp lý, bồi thường toàn bộ chi phí hỗ trợ mà Chính phủ đã ứng trước, cũng như đền bù các thiệt hại về tài nguyên sinh vật biển và chi phí phục hồi môi trường sinh thái. Hội cũng kiến nghị bổ sung các chính sách kiểm soát chất thải sản xuất kinh doanh để đảm bảo môi trường bền vững và an toàn thực phẩm theo Hiệp định SPS của WTO, trong khi các bộ ngành liên quan vẫn chưa có văn bản trả lời chính thức cho các kiến nghị này."
vims,Cluster_006,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8130311614730878,0.47159090909090906,0.3541076487252125,rouge-score,2,1,max_mean_rouge2_rougeL,8445,623,3,13.77756879501976,20,2,"Chiều ngày 19/5, tại thị trấn Thanh Sơn, huyện Sơn Động, tỉnh Bắc Giang, một cặp vợ chồng quê ở huyện Triệu Sơn, Thanh Hóa là anh Đỗ Viết Tuấn (sinh năm 1983) và chị Vũ Thị Lan (sinh năm 1985) được phát hiện tử vong bất thường. Qua điều tra ban đầu, cơ quan công an xác định anh Tuấn tự sát bằng vật liệu nổ tại phòng bảo vệ của công ty nơi anh làm việc, trong khi chị Lan tử vong tại nhà trọ trong tư thế bị trói chặt chân tay và cổ bị siết. Khi người dân phá cửa nhà trọ vì thấy cửa khóa bên ngoài và không liên lạc được, họ đã phát hiện chị Lan đã chết bên trong. Cặp vợ chồng vốn có hoàn cảnh kinh tế khó khăn, thường xuyên mâu thuẫn và vừa trở về từ quê nhà trước khi xảy ra vụ việc. Công an tỉnh Bắc Giang đã phối hợp với Công an huyện Sơn Động khám nghiệm hiện trường và tử thi để làm rõ trình tự các sự việc, bao gồm giả thuyết người chồng sát hại vợ rồi tự sát do mâu thuẫn gia đình, đồng thời không loại trừ khả năng có sự tham gia của người thứ ba."
vims,Cluster_007,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7535321821036106,0.5763779527559055,0.5023547880690737,rouge-score,2,1,max_mean_rouge2_rougeL,4719,612,3,12.03250970505178,11,2,"Khoảng 16h ngày 19/5, anh Phạm Đức Huy (31 tuổi, trú tại phường Khánh Xuân, TP. Buôn Ma Thuột, Đắk Lắk) tử vong do bị điện giật khi đang hàn thùng xe ô tô tải mang BKS 47C-114.26 tại garage số 93 đường Giải Phóng, phường Tân Thành, TP. Buôn Ma Thuột. Trước đó, anh Huy đến bãi thu mua lốp xe cũ của gia đình anh Trần Thủy Chung để bốc hàng và thực hiện hàn lại thùng xe bị hư bằng cách kéo điện trực tiếp. Khi phát hiện nạn nhân nằm bất động và toàn bộ xe bị nhiễm điện, chủ cơ sở đã nhanh chóng hô hoán mọi người ngắt cầu dao điện và đưa anh đến Bệnh viện Đa khoa tỉnh Đắk Lắk cấp cứu nhưng không qua khỏi. Hiện lực lượng Công an TP. Buôn Ma Thuột đã tiến hành khám nghiệm hiện trường, lấy lời khai của những người liên quan để điều tra làm rõ nguyên nhân vụ việc."
vims,Cluster_008,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7670850767085076,0.3888111888111888,0.33193863319386335,rouge-score,2,1,max_mean_rouge2_rougeL,6465,669,3,13.691304813022725,15,2,"Lực lượng Cảnh sát giao thông (CSGT) đang quyết liệt xử lý tình trạng xe ba bánh tự chế, đặc biệt là các phương tiện giả danh xe thương binh gây mất an toàn giao thông và ô nhiễm môi trường trên các tuyến phố Thủ đô. Tại các điểm nóng như đường Giải Phóng, Kim Đồng, Đê La Thành, Hoàng Cầu và Trường Chinh, lực lượng chức năng đã lập biên bản, xử phạt và tạm giữ hàng loạt phương tiện không giấy tờ, không đăng ký xe và thiếu bằng lái. Những phương tiện này thường do những người điều khiển trẻ tuổi vận hành với hành vi phóng nhanh, vượt đèn đỏ, lấn đường và chở hàng cồng kềnh. Bên cạnh việc gây mất an toàn, các phương tiện còn gây ô nhiễm nghiêm trọng do khung máy hoen gỉ, hỏng đèn còi và nhả khói đen. Theo thống kê, có tới 90% xe ba bánh lưu thông là xe tự chế từ các xe máy cũ. Để giải quyết triệt để tình trạng này, các đơn vị CSGT đang phối hợp với công an địa phương rà soát các cơ sở sản xuất trái phép, đồng thời kiến nghị nâng mức xử phạt và tăng cường tuyên truyền để lập lại trật tự đô thị."
vims,Cluster_009,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8,0.4974874371859296,0.495,rouge-score,2,1,max_mean_rouge2_rougeL,1994,189,1,4.0273929219692945,7,1,"Vào lúc 14g28 ngày 19/5, một loạt các vụ nổ khí ga và oxy đã xảy ra tại căn cứ quân sự Carroll của Mỹ ở tỉnh Gyeongsang, cách thủ đô Seoul 280 km về phía đông nam. Các quan chức Hàn Quốc cho biết khoảng 20 khoang chứa oxy nặng 50 kg cùng một số khoang nhỏ hơn đã phát nổ, làm thiêu rụi gần như hoàn toàn một căn nhà tại căn cứ trong khi các công trình khác không bị ảnh hưởng. Lực lượng cứu hỏa đã huy động 18 xe đến hiện trường và dập tắt đám cháy cùng các vụ cháy nhỏ do mảnh vỡ văng ra gây ra trong vòng chưa đầy một giờ đồng hồ. Hiện chưa có báo cáo về thương vong, và quân đội Mỹ đang tiến hành điều tra nguyên nhân chính xác của vụ việc."
vims,Cluster_010,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7914438502673796,0.5040214477211797,0.42245989304812837,rouge-score,2,1,max_mean_rouge2_rougeL,7076,672,3,14.32655902998522,17,2,"Ông Phạm Ngọc Hùng (57 tuổi, trú tại TP Pleiku, Gia Lai) bị tố cáo giả danh cán bộ Bộ Công an và phóng viên Báo Công an TP Đà Nẵng để lừa đảo nhiều người dân tại huyện Phú Thiện với chiêu trò ""chạy việc"". Cụ thể, ông Hùng đã nhận 100 triệu đồng từ bà Nông Thị Tươi để lo việc vào công an chuyên nghiệp cho cháu bà và nhận 6 triệu đồng từ bà Hoàng Thị Bạch để cho con gái vào trường Trung cấp Quân y nhưng không thực hiện. Trong các giấy biên nhận tiền, ông Hùng tự xưng là nguyên cán bộ A43 Bộ Công an, hiện công tác tại Báo Công an TP Đà Nẵng và đơn vị A35 - BCA. Cơ quan chức năng xác nhận Báo Công an TP Đà Nẵng không có nhân sự nào tên là Phạm Ngọc Hùng và đã báo cáo lên Ban Giám đốc Công an TP Đà Nẵng để đề nghị cơ quan chức năng TP Pleiku khẩn trương điều tra làm rõ hành vi giả mạo. Hiện Công an TP Pleiku đang tiếp nhận thông tin từ các nạn nhân khác và kêu gọi những người bị lừa đảo liên hệ trực tiếp tại trụ sở hoặc số điện thoại trực ban 0593.821.625 để cung cấp chứng cứ xử lý đối tượng."
