dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,max_summary_words,max_output_tokens,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,rouge_tokenizer,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,community_count,generated_summary
vn_mds,cluster_1,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7955647955647955,0.5870922970159611,0.4518364518364518,rouge-score,unicode_char,2,0,max_rouge_tuple,2062,262,1,6.664102914975956,5,1,"Đảng đối lập Cứu quốc Campuchia (CNRP) đã tổ chức cuộc biểu tình phi bạo lực kéo dài ba ngày tại thủ đô Phnom Penh nhằm đòi công lý cho cử tri trước kết quả bầu cử quốc hội bất thường vào tháng 7. Ước tính khoảng 5.000 người đã tham gia diễu hành với các biểu ngữ yêu cầu điều tra sự thật và cải cách bầu cử. Đoàn biểu tình dự kiến di chuyển đến Văn phòng nhân quyền Liên Hiệp Quốc và các đại sứ quán của Anh, Pháp, Mỹ, Úc, Nhật để yêu cầu can thiệp vào kết quả bầu cử. Mặc dù CNRP dự kiến quy tụ 40.000 người, chính quyền chỉ cho phép tối đa 10.000 người tham gia. Để đảm bảo an ninh, nhà chức trách đã triển khai hàng nghìn cảnh sát chống bạo động. Trước đó, Quốc hội Campuchia đã phê chuẩn nhiệm kỳ mới của Thủ tướng Hun Sen bất chấp sự tẩy chay của thủ lĩnh Sam Rainsy."
vn_mds,cluster_10,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.865616311399444,0.618384401114206,0.5412418906394811,rouge-score,unicode_char,2,1,max_rouge_tuple,4986,242,1,6.686955910059623,10,1,"Thủ tướng Nhật Bản Shinzo Abe đã phê chuẩn kế hoạch cho phép Lực lượng Tự vệ trên không bắn hạ các máy bay không người lái (UAV) nước ngoài xâm nhập không phận Nhật Bản. Động thái này nhằm đáp trả vụ việc UAV quân sự của Trung Quốc bay gần quần đảo Senkaku/Điếu Ngư vào ngày 9/9 và thể hiện sự cứng rắn của Tokyo trước các hành động xâm phạm chủ quyền. Tuy nhiên, Chính phủ Nhật Bản vẫn đang cân nhắc các biện pháp đối phó với UAV mang vũ khí hủy diệt hàng loạt để đảm bảo an toàn. Phản ứng trước quy định mới, Trung Quốc bày tỏ sự tức giận, cáo buộc Nhật Bản lợi dụng ""mối đe dọa bên ngoài"" để tăng cường năng lực quân sự và gây căng thẳng khu vực."
vn_mds,cluster_100,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.795751633986928,0.5073649754500819,0.3366013071895425,rouge-score,unicode_char,2,1,max_rouge_tuple,7237,725,3,14.602747523924336,12,2,"U.23 Việt Nam dưới sự dẫn dắt của HLV Hoàng Văn Phúc đã giành chiến thắng ngược dòng 3-1 trước U.23 Myanmar tại sân vận động Thuwana ở Yangon. Dù bị dẫn trước 1-0 ở hiệp một sau một quả phạt đền vào phút 33 (được cho là do trọng tài thiên vị đội chủ nhà), U.23 Việt Nam đã lật ngược thế trận ở hiệp hai. Văn Quyết ghi bàn gỡ hòa ở phút 52, trước khi Hà Minh Tuấn và Quang Hùng lần lượt ghi bàn ấn định tỉ số. Chiến thắng này giúp đội tuyển duy trì chuỗi 8 trận giao hữu bất bại, chuẩn bị tốt cho BTV Cup 2013 và SEA Games 27. Trước đó, đoàn thể thao Việt Nam vẫn đảm bảo an toàn sau một loạt vụ nổ bom tại Yangon để tiếp tục kế hoạch tập huấn. Sau chuyến du đấu, đội tuyển sẽ trở về TP.HCM vào ngày 17-10 để chuẩn bị cho Cúp bóng đá Bình Dương diễn ra từ ngày 25-10 đến 3-11."
vn_mds,cluster_101,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8086816720257235,0.644122383252818,0.4244372990353698,rouge-score,unicode_char,2,1,max_rouge_tuple,2840,247,1,5.276227865018882,8,1,"Bộ Y tế đã lên án hành vi không thể chấp nhận được của bác sĩ Nguyễn Mạnh Tường, viên chức khoa Ngoại Bệnh viện Bạch Mai, liên quan đến vụ việc chị Lê Thị Thanh Huyền tử vong tại Thẩm mỹ viện Cát Tường (địa chỉ tại 45 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội). Vụ việc xảy ra vào ngày nghỉ cuối tuần ngoài giờ hành chính tại cơ sở không có giấy phép hoạt động phẫu thuật thẩm mỹ. Bộ Y tế bày tỏ sự đau lòng trước mất mát của gia đình nạn nhân và yêu cầu xử lý nghiêm theo pháp luật. Bộ Y tế đã gửi công văn khẩn số 6794/BYT-VPB1 đề nghị UBND TP Hà Nội phối hợp với Sở Y tế và các cơ quan chức năng để tích cực nắm bắt tình hình, cung cấp thông tin cho cơ quan điều tra."
vn_mds,cluster_102,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8486274509803923,0.6472898664571878,0.5741176470588236,rouge-score,unicode_char,2,0,max_rouge_tuple,1117,216,1,4.383712625014596,5,1,"Chiều 4/11, Đội Cảnh sát giao thông, Công an TP Thủ Dầu Một (tỉnh Bình Dương) đã công bố quyết định xử phạt hành chính đối với 27 đối tượng có hành vi đua xe trái phép, lạng lách, đánh võng và tổ chức cổ vũ đua xe gây mất an toàn giao thông. Trước đó, trong hai đêm 18 và 19/10, lực lượng chức năng phối hợp tuần tra trên tuyến Quốc lộ 13 (phường Phú Thọ) đã truy bắt được 10 đối tượng trong nhóm thanh niên thường xuyên tụ tập, tổ chức đua xe. Cơ quan chức năng đã tịch thu 3 phương tiện vi phạm. Thượng tá Nguyễn Xuân Hoàng, Phó công an TP Thủ Dầu Một, cho biết việc xử lý các đối tượng nhằm giáo dục, răn đe các hành vi vi phạm an toàn giao thông, đồng thời nhắc nhở phụ huynh nâng cao trách nhiệm trong việc quản lý con em và phương tiện đi lại."
vn_mds,cluster_103,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.805337519623234,0.5235849056603773,0.3987441130298273,rouge-score,unicode_char,2,1,max_rouge_tuple,5030,263,1,6.9714992749504745,10,1,"Sáng 21.10, tại quận Gò Vấp, TP.HCM, ông Vương Chí Linh (67 tuổi) đã dùng axit tạt vào người vợ cũ là bà Nguyễn Thị T. V. khiến bà bị phỏng nặng và phải nhập viện cấp cứu. Sau khi gây án, ông Linh vào nhà đóng cửa, viết thư tuyệt mệnh rồi tự tưới xăng lên người và châm lửa tự thiêu. Lực lượng chức năng đã kịp thời khống chế ngọn lửa và xác nhận ông Linh tử vong tại hiện trường. Bi kịch bắt nguồn từ việc ông Linh cho rằng bà V. lừa đảo để chiếm đoạt tài sản. Sau khi kết hôn, ông đã ký tặng bà V. các căn nhà và đất trị giá khoảng 30 tỉ đồng. Tuy nhiên, sau khi ly hôn, bà V. không cho ông ở lại căn nhà cũ và từ chối chia sẻ các tài sản chung. Ông Linh cho rằng tòa án đã xử ép và không giải quyết thỏa đáng các khiếu nại của ông về việc phân chia tài sản."
vn_mds,cluster_104,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8236151603498542,0.6014598540145986,0.4446064139941691,rouge-score,unicode_char,2,1,max_rouge_tuple,2673,247,1,5.426784912007861,5,1,"Ngày 30/10, Công an huyện Lý Nhân (Hà Nam) đã khởi tố bị can Phan Văn Sáng (SN 1988) về tội cố ý gây thương tích. Trước đó, vào khoảng 7h sáng ngày 27/10, do uất ức vì không thể xin nhượng lại phần đất nơi chị Trần Thị Quyên (30 tuổi) đang kinh doanh thuốc, Sáng đã đập phá tường và dùng chai xăng 1,5 lít hất vào quầy thuốc rồi phóng hỏa. Vụ việc khiến chị Quyên cùng hai khách hàng là bà Bảy (thương tật 52%) và bà Mai (thương tật 17%) bị bỏng nặng. May mắn, người dân đã kịp thời dùng cát dập tắt đám cháy, giúp các nạn nhân thoát chết và được đưa đến Bệnh viện bỏng Trung ương điều trị. Cơ quan chức năng cho biết Sáng có ý định đốt hiệu thuốc để chiếm đất mở cửa hàng riêng sau khi học xong trường trung cấp dược. Hiện cơ quan công an đã ra lệnh tạm giữ hình sự đối với đối tượng Sáng để điều tra làm rõ."
vn_mds,cluster_105,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8114186851211072,0.5199306759098787,0.43598615916955014,rouge-score,unicode_char,2,1,max_rouge_tuple,2640,247,1,5.30738813104108,6,1,"Ngày 20-9, chị Kê tử vong do treo cổ sau mâu thuẫn với chồng là Trương Văn My (38 tuổi) tại Cà Mau. Dù kết quả giám định pháp y ngày 4-10 khẳng định chị Kê tử vong do ngạt thở cơ học và cơ quan chức năng quyết định không khởi tố vụ án hình sự, gia đình ông Tòng (cha chị Kê) vẫn không đồng ý, cho rằng chị Kê bị chồng giết. Ngày 26-10, gia đình ông Tòng đã đập mồ và định mang thi hài đi khiếu kiện nhưng bị ngăn chặn. Hiện gia đình đã chọn cơ quan pháp y Bộ Quốc phòng để giám định lại. Trong quá trình khiếu kiện, một nhóm người quá khích đã gây rối trật tự công cộng tại trụ sở Tỉnh ủy và UBND tỉnh Cà Mau. Công an TP Cà Mau đã tạm giữ 19 người, trong đó 9 người bị bắt về hành vi gây rối."
vn_mds,cluster_106,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8765088207985143,0.6995348837209302,0.5236768802228412,rouge-score,unicode_char,2,1,max_rouge_tuple,1745,255,1,5.541060850024223,5,1,"Vào lúc 12h30 ngày 1-11, một vụ tai nạn nghiêm trọng đã xảy ra trên quốc lộ 1A, đoạn qua khu vực cầu vượt Bình Phước 1 (P. Hiệp Bình Phước, Q. Thủ Đức, TP. Hồ Chí Minh). Anh Nguyễn Thanh Tùng (35 tuổi, quê An Giang) khi đang đi bộ băng ngang qua đường trong tình trạng mải nghe điện thoại và thiếu quan sát đã bị xe tải nặng mang BKS 95T - 1199 do tài xế Dương Bình Hải (30 tuổi, quê Hậu Giang) điều khiển tông trúng. Cú đâm trực diện khiến anh Tùng tử vong tại chỗ. Lực lượng CSGT quận Thủ Đức đã có mặt để điều tra, và thi thể nạn nhân được đưa đi vào khoảng 15h cùng ngày. Người dân phản ánh đoạn đường này thường xuyên có tình trạng người đi bộ không tuân thủ luật giao thông và xe tải đổ dốc với tốc độ nguy hiểm."
vn_mds,cluster_107,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,180,300,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.842304060434372,0.5808893093661306,0.47780925401322005,rouge-score,unicode_char,2,1,max_rouge_tuple,1562,211,1,4.251252526068129,4,1,"Trưa ngày 1/11, người dân tại khu vực giáp ranh xã Hải Ninh và Hải An (huyện Tĩnh Gia, Thanh Hóa) phát hiện xác một con cá voi nặng nhiều tấn dạt vào bờ khi thủy triều rút xuống. Con cá có chiều dài trên 10m, vòng ngực khoảng 2,5m và đang trong quá trình phân hủy mạnh khiến mùi bốc lên rất nặng, đồng thời phần đầu và đuôi đã bị mất. Nhiều ngư dân cho biết trước đó họ đã thấy một vật lạ trôi trên mặt nước ngoài khơi. Do đây là loài cá quý hiếm và linh thiêng, người dân có ý định làm lễ thắp hương để cầu may. Hiện, ông Mai Xuân Châu, Trưởng phòng Nông nghiệp huyện Tĩnh Gia, cùng các cơ quan chức năng đang phối hợp xác minh nguyên nhân cái chết của cá và lên phương án xử lý chôn cất trong thời gian sớm nhất để đảm bảo vệ sinh môi trường."
