dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vims,Cluster_001,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.6540198735320686,0.3819004524886877,0.33423667570009036,rouge-score,2,1,max_mean_rouge2_rougeL,8616,611,1,13.994969626888633,10,1,"Chiếc máy bay Airbus A320 mang số hiệu MS804 của hãng hàng không EgyptAir đã mất tích trên bầu trời Địa Trung Hải vào sáng ngày 19/5 khi đang trên đường bay từ Paris (Pháp) đến Cairo (Ai Cập). Máy bay chở theo 66 người, bao gồm 56 hành khách và 10 thành viên phi hành đoàn, với quốc tịch đa dạng như Ai Cập, Pháp, Iraq, Anh, Bỉ, Kuwait, Saudi Arabia, Sudan, Chad, Bồ Đào Nha, Algeria và Canada. Theo dữ liệu từ các trung tâm kiểm soát không lưu, máy bay biến mất khỏi màn hình radar vào khoảng 2h45 sáng, sau khi thực hiện các cú chuyển hướng đột ngột và hạ độ cao nhanh chóng từ 11.000m xuống dưới 3.000m mà không có tín hiệu cầu cứu hay báo cáo về thời tiết cực đoan.

Các cơ quan chức năng Ai Cập, Pháp, Hy Lạp và Mỹ đang phối hợp điều tra và tìm kiếm. Ai Cập đã thành lập ủy ban điều tra do Ayman al-Moqadem dẫn đầu, với sự tham gia của các chuyên gia Pháp và Mỹ. Trong khi đó, Mỹ đã cử máy bay P-3 Orion hỗ trợ tìm kiếm. Một số nguồn tin ban đầu cho rằng đã tìm thấy mảnh vỡ tại phía nam đảo Karpathos (Hy Lạp), nhưng sau đó hãng EgyptAir đã đính chính rằng những mảnh vỡ đó không thuộc về chiếc MS804.

Hiện tại, các giả thuyết về nguyên nhân vụ tai nạn đang gây tranh cãi. Nhiều quan chức Ai Cập, bao gồm Bộ trưởng Hàng không Sherif Fathi và Thủ tướng Sherif Ismail, cùng các chuyên gia quốc tế nghiêng về khả năng máy bay bị tấn công khủng bố, do ít có khả năng xảy ra lỗi kỹ thuật ở độ cao lớn như vậy. Một số nguồn tin đề xuất giả thuyết máy bay bị đặt bom từ bên trong hoặc bị tên lửa đất đối không tấn công. Tuy nhiên, chính phủ Mỹ cho biết hiện chưa có bằng chứng xác thực về vụ nổ và việc xác định nguyên nhân vẫn đang được điều tra. Các chuyên gia cũng xem xét các yếu tố khác như lỗi phi công hoặc vấn đề bảo dưỡng, dù các phi công trên chuyến bay được xác nhận là có kinh nghiệm dày dạn.

Về mặt nhân sự, một số nạn nhân đã được xác định danh tính, bao gồm công dân Pháp, Anh, Bồ Đào Nha và Chad. Một nữ tiếp viên của hãng, Samar Ezz Eldin, cũng bị chú ý do một bức ảnh cũ đăng trên mạng xã hội từ năm 2014 cho thấy cô chụp cùng một máy bay đang chìm, dù chưa có phản hồi chính thức từ cơ quan chức năng về sự liên quan của bức ảnh này với vụ tai nạn."
vims,Cluster_002,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.5624103299856528,0.36258992805755397,0.3357245337159254,rouge-score,2,1,max_mean_rouge2_rougeL,2267,418,1,6.829129651072435,5,1,"Bà Hillary Clinton khẳng định bà sẽ trở thành ứng viên chính thức đại diện cho đảng Dân chủ trong cuộc tổng tuyển cử tháng 11/2016, cho rằng kết quả cuộc đua với đối thủ Bernie Sanders đã ""ngã ngũ"". Tại thời điểm này, bà Clinton nắm giữ 2.293 đến 2.297 phiếu đại cử tri, trong khi ông Sanders có 1.527 đến 1.528 phiếu. Dù vậy, ông Sanders vẫn tuyên bố sẽ tiếp tục theo đuổi đến cùng.

Trong các cuộc phỏng vấn với CNN, bà Clinton đưa ra những chỉ trích mạnh mẽ đối với ứng viên đảng Cộng hòa Donald Trump, gọi ông là người ""vô trách nhiệm, bất cẩn và phát ngôn nguy hiểm"". Bà cho rằng ông Trump không đủ tư cách làm tổng thống vì gây ra mối đe dọa lớn cho đất nước, nền dân chủ và nền kinh tế của Mỹ. Bà cụ thể hóa các lập luận này bằng việc nhắc lại các phát ngôn gây tranh cãi của ông Trump như: chỉ trích các chính trị gia Anh, sẵn sàng gặp lãnh đạo Triều Tiên Kim Jong-un, coi NATO là ""lạc hậu"", ủng hộ nhiều quốc gia sở hữu vũ khí hạt nhân và chủ trương cấm người Hồi giáo nhập cảnh vào Mỹ. Bà nhấn mạnh rằng các quan điểm này gửi đi thông điệp thiếu tôn trọng và có thể làm gia tăng tình trạng khủng bố.

Liên quan đến vụ rơi máy bay MS804 của hãng EgyptAir vào ngày 19/5, bà Clinton nhận định đây có thể là một hành vi khủng bố và bày tỏ sự thiếu tin tưởng vào khả năng bảo đảm an toàn của ông Trump. Cùng ngày, ông Trump cũng lên tiếng trên Twitter cho rằng vụ việc có vẻ là một cuộc tấn công khủng bố và kêu gọi sự cứng rắn, khôn ngoan hơn trong việc đối phó với chủ nghĩa khủng bố Hồi giáo cực đoan."
vims,Cluster_003,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.7767695099818512,0.5436363636363636,0.4537205081669691,rouge-score,2,1,max_mean_rouge2_rougeL,5422,508,1,8.886505628935993,10,1,"Bà Thái Anh Văn, 59 tuổi, Chủ tịch đảng Dân tiến (DPP), chính thức nhậm chức lãnh đạo Đài Loan vào ngày 20/5/2016, trở thành nữ lãnh đạo đầu tiên của hòn đảo này. Bà giành chiến thắng áp đảo trong cuộc bầu cử tháng 1/2016, đánh bại đối thủ Chu Lập Luân của Quốc Dân đảng (KMT) và kết thúc 8 năm cầm quyền của Tổng thống Mã Anh Cửu. Lễ tuyên thệ diễn ra tại Đài Bắc với sự tham dự của gần 700 nguyên thủ quốc gia, nhà ngoại giao và quan chức quốc tế.

Trong vai trò mới, bà Thái Anh Văn đối mặt với hai thách thức lớn là giải quyết mối quan hệ căng thẳng với Trung Quốc và vực dậy nền kinh tế đang suy thoái do xuất khẩu giảm mạnh. Trong bài phát biểu nhậm chức, bà khẳng định sẽ duy trì hiện trạng hòa bình với Bắc Kinh nhưng đồng thời yêu cầu Trung Quốc phải tôn trọng nền dân chủ của Đài Loan. Bà cam kết không thay đổi lập trường cơ bản của đảng DPP là ủng hộ sự độc lập của Đài Loan, điều vốn khiến Bắc Kinh không hài lòng.

Phía Trung Quốc liên tục bày tỏ sự phản đối và đe dọa sử dụng vũ lực để chiếm lại Đài Loan, coi đây là lãnh thổ của mình. Trước khi bà Thái nhậm chức, quân đội Trung Quốc đã tiến hành các cuộc tập trận quy mô lớn phối hợp nhiều binh chủng tại bờ biển phía Đông nhằm phô diễn sức mạnh và răn đe các động thái đòi độc lập. Báo cáo của Lầu Năm Góc cũng cảnh báo về các kế hoạch ""đổ bộ xâm chiếm Đài Loan"" của Bắc Kinh, mặc dù hiện tại Trung Quốc được cho là chưa đủ khả năng thực hiện do rủi ro can thiệp quốc tế.

Về mặt kinh tế, Đài Loan đang chịu ảnh hưởng từ sự sụt giảm nhu cầu của Trung Quốc đại lục, dẫn đến việc giảm chỉ số chứng khoán và suy thoái kinh tế. Chính quyền mới đang thúc đẩy chính sách ""hướng Nam"" nhằm tăng cường quan hệ thương mại với các quốc gia Đông Nam Á để giảm sự phụ thuộc vào Trung Quốc. Đồng thời, các chuyên gia nhấn mạnh bà Thái cần tập trung vào việc khôi phục tăng trưởng, tạo việc làm và giảm bất bình đẳng trong xã hội."
vims,Cluster_004,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.5414585414585414,0.3603603603603604,0.2997002997002997,rouge-score,2,0,max_mean_rouge2_rougeL,10561,593,1,11.591022690059617,6,1,"Tại hội thảo “TP.HCM - Khát vọng vươn lên” do báo Tuổi Trẻ tổ chức ngày 19/5/2016, các chuyên gia và lãnh đạo đã thảo luận về thực trạng và giải pháp cho sự phát triển của TP.HCM. Các chuyên gia nhấn mạnh TP.HCM đang đối mặt với tình trạng ""tụt hậu"", đóng vai trò là ""đầu tàu"" nhưng lại vận hành với tốc độ của một ""toa tàu"" do thiếu cơ chế vượt trội và các rào cản thể chế. PGS.TS Trần Đình Thiên cho rằng thành phố đang mất động lực phát triển do cơ chế ""xin - cho"", việc phân bổ ngân sách chưa hợp lý và sự phụ thuộc vào các quyết định của Trung ương khiến thành phố không thể chủ động bứt phá. Ông Huỳnh Thế Du bổ sung rằng đội ngũ công chức thiếu động cơ do cơ chế trách nhiệm tập thể không phân định rõ ràng hiệu quả công việc, đồng thời nhấn mạnh việc cần khơi lại tính tiên phong và liên kết vùng để tạo sức cạnh tranh.

Tiến sĩ Vũ Minh Khương từ Đại học Quốc gia Singapore cảnh báo TP.HCM có nguy cơ rơi vào bẫy thu nhập trung bình và mất vai trò dẫn dắt nếu không thay đổi tư duy quản lý. Ông đề xuất mô hình ""săn hươu"" để đảm bảo kỷ luật trong quản lý nhà nước và khuyến khích khai thác nguồn lực từ cộng đồng người Hoa. Về mặt hạ tầng và quy hoạch, các ý kiến đề xuất tập trung vào việc hiện đại hóa đô thị, giảm ngập lụt, giải quyết ùn tắc giao thông bằng phương tiện công cộng và phát triển các khu đô thị mới theo hướng ""ly tâm"". Một giải pháp cụ thể là ngăn chặn dòng người di cư ồ ạt lao động trình độ thấp để tránh tình trạng ""nông thôn hóa"" và quá tải dân số.

Chủ tịch UBND TP.HCM Nguyễn Thành Phong cam kết sẽ nỗ lực xây dựng thành phố văn minh, hiện đại, đáng sống và không phụ lòng tin của người dân. Ông thừa nhận những hạn chế trong năng lực cạnh tranh và cam kết tiếp thu các ý kiến đóng góp để đột phá về thể chế. Ông Phạm Phú Quốc từ HFIC nhấn mạnh bài toán vốn, cho biết TP.HCM cần hơn 215.000 tỷ đồng cho các chương trình đột phá trong giai đoạn 2016-2020, trong khi ngân sách chỉ đáp ứng được khoảng 130.000 tỷ đồng, từ đó đề xuất huy động nguồn lực xã hội hóa và đối tác công tư (PPP). Hội thảo cũng ghi nhận hơn 9.500 ý kiến đóng góp từ người dân, thể hiện kỳ vọng vào sự thay đổi mạnh mẽ của thành phố trong tương lai."
vims,Cluster_005,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.6252927400468384,0.43896713615023475,0.423887587822014,rouge-score,2,0,max_mean_rouge2_rougeL,3548,460,1,7.704531932948157,5,1,"Hội Nghề cá Việt Nam vừa gửi công văn đề nghị Chính phủ và các bộ ngành liên quan (Bộ Tài nguyên và Môi trường, Bộ Nông nghiệp và Phát triển nông thôn, Bộ Khoa học và Công nghệ, Bộ Tài chính) đẩy nhanh tiến độ xác định nguyên nhân cá chết hàng loạt tại các tỉnh miền Trung (Hà Tĩnh, Quảng Bình, Quảng Trị, Thừa Thiên - Huế). Hiện tượng này bắt đầu từ ngày 6/4/2016 tại Hà Tĩnh và kéo dài đến đầu tháng 5/2016. Mặc dù nhiều đoàn kiểm tra đã được cử và Thứ trưởng Bộ Khoa học và Công nghệ Phạm Công Tạc cho biết vào ngày 14/5 rằng đã có đủ cơ sở khoa học thuyết phục, nhưng nguyên nhân chính xác vẫn chưa được công bố chính thức.

Hội Nghề cá bày tỏ lo ngại rằng việc chậm trễ công bố thông tin sẽ khiến chất độc trong trầm tích đáy biển bị pha loãng và các mẫu cá chết từ đầu tháng 4/2016 tại các phòng kiểm nghiệm bị tiêu hủy do hết hạn lưu mẫu, gây khó khăn cho việc truy tìm nguyên nhân. Việc xác định rõ nguyên nhân được cho là cần thiết để trấn an dư luận, đảm bảo an toàn thực phẩm cho người tiêu dùng và tuân thủ Điều 5 Hiệp định SPS của WTO.

Về công tác hỗ trợ, hiện ngư dân tại các tỉnh bị ảnh hưởng đã được hỗ trợ 15 kg gạo/người/tháng trong 1,5 tháng cùng các chính sách giãn nợ, giảm lãi suất. Hội Nghề cá đề nghị tiếp tục hỗ trợ cho đến khi xác định được nguyên nhân và sản xuất phục hồi. Đồng thời, Hội kiến nghị nếu nguyên nhân do con người gây ra, thủ phạm phải chịu trách nhiệm pháp lý, hoàn trả chi phí hỗ trợ Chính phủ đã ứng trước, và bồi thường thiệt hại về tài nguyên sinh vật biển cũng như chi phí phục hồi môi trường. Ngoài ra, Hội cũng đề nghị bổ sung các chính sách kiểm soát môi trường, đặc biệt là chất thải từ hoạt động sản xuất và kinh doanh để đảm bảo sự bền vững."
vims,Cluster_006,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.753061224489796,0.4683026584867076,0.3959183673469388,rouge-score,2,1,max_mean_rouge2_rougeL,4694,499,1,8.57708683598321,10,1,"Trưa ngày 19/5, tại thôn Đồng Rì, thị trấn Thanh Sơn, huyện Sơn Động, tỉnh Bắc Giang, cơ quan chức năng phát hiện một cặp vợ chồng tử vong bất thường. Nạn nhân được xác định là anh Đỗ Viết Tuấn (sinh năm 1983 hoặc 1984, quê ở huyện Thiệu Hóa, tỉnh Thanh Hóa) và chị Vũ Thị Lan (sinh năm 1985, quê ở huyện Triệu Sơn, tỉnh Thanh Hóa). Cả hai đều làm việc tại một công ty than trên địa bàn huyện Sơn Động với công việc bảo vệ và nấu cơm.

Theo điều tra ban đầu, vào khoảng 12 giờ trưa ngày 19/5, sau khi tan ca làm việc buổi sáng, hai vợ chồng về nhà trọ. Một lúc sau, anh Tuấn quay trở lại công ty và sau đó một ít phút, đồng nghiệp nghe thấy tiếng nổ lớn. Khi đến hiện trường, mọi người phát hiện anh Tuấn đã tử vong do sử dụng vật liệu nổ tự sát tại phòng bảo vệ của công ty. Cùng thời điểm, người dân tìm đến nhà trọ của hai vợ chồng, phát hiện cửa khóa bên ngoài và khi phá cửa vào thì thấy chị Lan đã tử vong trong tư thế bị trói chặt chân tay và cổ bị siết.

Cơ quan công an xác định hai vợ chồng đã kết hôn được 8 năm, chưa có con và có hoàn cảnh kinh tế khó khăn. Trước khi xảy ra vụ việc, nhiều người xung quanh cho biết hai vợ chồng thường xuyên có mâu thuẫn, cãi vã. Các nguồn tin cung cấp thông tin trái chiều về vị trí tử vong của người chồng: một số báo tin anh Tuấn tử vong bên cạnh xác vợ, trong khi cơ quan công an khẳng định hai nạn nhân tử vong ở hai địa điểm khác nhau.

Hiện tại, cơ quan Công an tỉnh Bắc Giang đang phối hợp với Công an huyện Sơn Động tiến hành khám nghiệm hiện trường, khám nghiệm tử thi và giám định vật liệu nổ để làm rõ nguyên nhân vụ việc. Các giả thuyết hiện tại bao gồm việc anh Tuấn sát hại vợ rồi tự sát, hoặc cả hai cùng tự sát, hoặc có sự tham gia của người thứ ba. Vụ việc đang tiếp tục được điều tra theo quy định của pháp luật."
vims,Cluster_007,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.8262108262108262,0.5771428571428571,0.4672364672364672,rouge-score,2,1,max_mean_rouge2_rougeL,3173,300,1,5.13234528596513,10,1,"Vào khoảng 15h45 đến 16h ngày 19/5, tại bãi thu mua lốp xe cũ số 93 đường Giải Phóng, phường Tân Thành, TP. Buôn Ma Thuột, tỉnh Đắk Lắk, anh Phạm Đức Huy (31 tuổi, trú tại phường Khánh Xuân) đã tử vong do điện giật. Theo các nguồn tin, anh Huy là tài xế chở lốp cũ cho gia đình ông Trần Hữu Trung (hoặc ông Trần Thủy Chung) và đến bãi tập kết để bốc lốp lên xe tải mang biển kiểm soát 47C-114.26. Phát hiện thùng xe bị hư hỏng, anh Huy đã tự ý kéo điện để hàn lại cửa xe. Trong quá trình làm việc, anh bị điện giật bất tỉnh và nằm bất động trên đất trong khi toàn bộ thùng xe bị nhiễm điện.

Khoảng 16h cùng ngày, chủ cơ sở phát hiện nạn nhân nằm bất động nên đã hô hoán mọi người ngắt nguồn điện và đưa anh đến Bệnh viện Đa khoa tỉnh Đắk Lắk cấp cứu, nhưng anh Huy đã tử vong trước đó. Lực lượng Công an TP. Buôn Ma Thuột đã nhanh chóng có mặt tại hiện trường để khám nghiệm, lấy lời khai của những người liên quan và tiến hành điều tra làm rõ nguyên nhân vụ việc."
vims,Cluster_008,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.7350427350427351,0.4582441113490364,0.3952991452991453,rouge-score,2,1,max_mean_rouge2_rougeL,3914,463,1,7.861215561977588,5,1,"Lực lượng Cảnh sát Giao thông (CSGT) tại Hà Nội đang đẩy mạnh kiểm tra và xử lý nghiêm các phương tiện vi phạm, đặc biệt là xe ba bánh tự chế giả danh xe thương binh và các loại xe máy cũ nát, quá ""đát"". Trong các đợt ra quân, đặc biệt là tại khu vực cầu Mai Động và các tuyến đường như Giải Phóng, Kim Đồng, Đội CSGT số 4 đã liên tiếp phát hiện và xử lý hàng chục trường hợp vi phạm. Đa phần các xe ba bánh tự chế này không có giấy tờ đăng ký, không có biển kiểm soát và người điều khiển thường là người trẻ, khỏe mạnh nhưng không xuất trình được giấy tờ chứng minh thương binh, thẻ bảo hiểm y tế cho người có công hoặc xác nhận của chính quyền địa phương.

Các phương tiện quá ""đát"" thường có tình trạng hư hỏng đèn, còi, khung máy hoen gỉ và gây ô nhiễm môi trường nghiêm trọng do nhả khói đen. Những xe này thường chở hàng cồng kềnh như bình nước khoáng, giàn giáo hoặc các thanh sắt thép dài gấp nhiều lần kích thước xe thông thường, gây mất an toàn giao thông và ùn tắc. Khi bị kiểm tra, nhiều lái xe cố tình lách xe, phóng nhanh, vượt ẩu và tìm cách gọi điện thoại để ""xin trao đổi riêng"" hoặc nhờ người trợ giúp nhằm trốn tránh xử lý.

Kết quả kiểm tra cho thấy có tới 90% xe ba bánh lưu thông trên đường là xe tự chế, tự lắp ráp. Trong một số đợt kiểm tra cụ thể, Đội CSGT số 14 đã tạm giữ 40 phương tiện, trong đó có 28 xe tự chế. Đội CSGT số 3 cũng xử lý hơn 200 trường hợp vi phạm trong 7 ngày triển khai kế hoạch. Để giải quyết triệt để tình trạng này, lực lượng chức năng kiến nghị nâng mức xử phạt để tăng tính răn đe, đồng thời phối hợp với công an địa phương rà soát các cơ sở sản xuất xe ba bánh tự chế và tăng cường tuyên truyền giáo dục người dân."
vims,Cluster_009,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.6717850287907869,0.4470134874759152,0.4030710172744722,rouge-score,2,1,max_mean_rouge2_rougeL,1672,332,1,5.421489338972606,5,1,"Vào khoảng 14h28 đến 14h30 ngày 19/5 (giờ địa phương), một loạt vụ nổ liên tiếp kèm theo cháy lớn đã xảy ra tại căn cứ quân sự Camp Carroll của Mỹ ở tỉnh Gyeongsang, cách thủ đô Seoul khoảng 280-300 km về phía Đông Nam. Các quan chức Hàn Quốc cho biết có khoảng 10 vụ nổ riêng biệt, trong đó bao gồm khoảng 20 khoang chứa oxy (mỗi khoang nặng khoảng 50 kg) và một số khoang chứa nhỏ hơn đã phát nổ. Nguyên nhân được cho là do nổ các bình khí oxy và ni-tơ, hiện quân đội Mỹ đang tiến hành điều tra cụ thể.

Vụ nổ đã khiến một tòa nhà trong căn cứ bị hư hại nặng nề, trong khi các công trình khác không bị ảnh hưởng. Các mảnh vỡ từ vụ nổ đã văng ra xa, rơi vào các trang trại và nhà dân ở làng lân cận, gây ra nhiều đám cháy nhỏ khác. Lực lượng cứu hỏa địa phương đã huy động từ 15 đến 18 xe cứu hỏa đến hiện trường và dập tắt đám cháy trong vòng 30 đến 60 phút.

Hiện tại, chưa có báo cáo về thương vong hay thiệt hại cụ thể do vụ nổ gây ra. Căn cứ Carroll hiện là nơi đồn trú của khoảng 28.500 binh lính Mỹ nhằm răn đe các nguy cơ từ Triều Tiên."
vims,Cluster_010,pure_llm,none,,,,False,none,,,,,,,,,,none,none,openai_compatible,/data,,,,,0.802705749718151,0.5649717514124295,0.4374295377677565,rouge-score,2,1,max_mean_rouge2_rougeL,5150,421,1,7.435490972944535,6,1,"Ông Phạm Ngọc Hùng (57 tuổi, trú tại xã Trà Đa, TP. Pleiku, tỉnh Gia Lai) bị tố cáo giả danh cán bộ công an và phóng viên Báo Công an TP. Đà Nẵng để lừa đảo tiền ""chạy việc"". Cụ thể, bà Nông Thị Tươi (45 tuổi, trú tại huyện Phú Thiện, tỉnh Gia Lai) đã gửi đơn cầu cứu vào ngày 29/4/2016, cho biết ông Hùng đã nhận của bà tổng số tiền 100 triệu đồng để lo việc cho cháu bà là Dương Hoàng Phú vào công an chuyên nghiệp. Trong các giấy biên nhận tiền vào năm 2011, ông Hùng tự ghi đơn vị công tác là nguyên cán bộ A43 hoặc A35 của Bộ Công an, hiện công tác tại Báo Công an TP. Đà Nẵng. Tuy nhiên, sau khi bà Tươi giao đủ tiền, ông Hùng không thực hiện được công việc, liên tục thất hẹn và có hành vi thách thức, chửi bới khi bà yêu cầu trả lại tiền.

Theo điều tra của Công an TP. Pleiku, ông Hùng còn lừa đảo nhiều người dân khác tại huyện Phú Thiện, bao gồm việc nhận 6 triệu đồng để lo cho con gái bà Hoàng Thị Bạch vào trường Trung cấp Quân y. Đại tá Nguyễn Hải Thuận, đại diện Ban biên tập Báo Công an TP. Đà Nẵng, khẳng định cơ quan này và Văn phòng đại diện tại Tây Nguyên không có nhân viên hay cộng tác viên nào tên là Phạm Ngọc Hùng. Báo Công an TP. Đà Nẵng đã báo cáo vụ việc lên Ban Giám đốc Công an TP. Đà Nẵng và đề nghị cơ quan chức năng TP. Pleiku khẩn trương điều tra làm rõ. Công an TP. Pleiku cũng đưa ra thông tin liên hệ để các nạn nhân khác của ông Hùng có thể trình báo và cung cấp chứng cứ."
