dataset,sample_id,salience,alpha,beta,gamma,use_graph,chunking,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count
vn_mds,cluster_1,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4163822525597269,0.39455782312925175,rouge-score,2,1,max_mean_rouge2_rougeL,1976,2983,1,25.609643881907687,3,1
vn_mds,cluster_10,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5330188679245282,0.3563579277864992,rouge-score,2,0,max_mean_rouge2_rougeL,3621,3975,1,35.83661298104562,3,1
vn_mds,cluster_100,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.435814455231931,0.35091496232508074,rouge-score,2,0,max_mean_rouge2_rougeL,4410,4653,1,41.53113517398015,4,1
vn_mds,cluster_101,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.48330914368650213,0.41739130434782606,rouge-score,2,0,max_mean_rouge2_rougeL,2449,2729,1,22.059175528003834,3,1
vn_mds,cluster_102,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4876632801161103,0.4167872648335745,rouge-score,2,0,max_mean_rouge2_rougeL,2059,2353,1,19.528470378019847,3,1
vn_mds,cluster_103,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4133180252583238,0.38258877434135163,rouge-score,2,1,max_mean_rouge2_rougeL,3246,3275,1,29.981300209998153,3,1
vn_mds,cluster_104,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5086206896551724,0.4150537634408602,rouge-score,2,0,max_mean_rouge2_rougeL,2298,3854,1,30.731123749981634,3,1
vn_mds,cluster_105,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4508094645080946,0.3577639751552795,rouge-score,2,1,max_mean_rouge2_rougeL,2367,3092,1,25.081946242018603,3,1
vn_mds,cluster_106,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.47202797202797203,0.4146341463414634,rouge-score,2,1,max_mean_rouge2_rougeL,1830,2977,1,23.816516169928946,3,1
vn_mds,cluster_107,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.49491525423728816,0.4256756756756757,rouge-score,2,0,max_mean_rouge2_rougeL,1613,3131,1,23.98100561602041,3,1
vn_mds,cluster_108,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5702005730659027,0.43142857142857144,rouge-score,2,1,max_mean_rouge2_rougeL,1813,2605,1,20.83510587492492,3,1
vn_mds,cluster_109,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.48936170212765956,0.36870026525198935,rouge-score,2,0,max_mean_rouge2_rougeL,2438,3689,1,29.717264792067,3,1
vn_mds,cluster_11,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3387978142076503,0.31062670299727524,rouge-score,2,0,max_mean_rouge2_rougeL,1770,3069,1,24.879706945968792,2,1
vn_mds,cluster_110,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5006993006993007,0.5160390516039052,rouge-score,2,0,max_mean_rouge2_rougeL,2010,3841,1,29.86036282707937,3,1
