dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,max_summary_words,max_output_tokens,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,rouge_tokenizer,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,community_count,moa_num_entities,moa_num_relations,moa_contrastive_relation_count,moa_config_overlays,moa_llm_base_url,moa_llm_max_tokens_param,moa_extractor_model_name,moa_extractor_lambda,moa_extractor_top_sentence_proportion,moa_kgsum_max_summary_tokens,moa_abstractor_max_summary_words,moa_abstractor_max_summary_tokens,moa_amf_max_summary_words,moa_amf_max_summary_tokens,moa_force_extractor_anchor,moa_max_kgsum_weight,moa_direct_anchor_output,moa_direct_anchor_policy,case_agent_log,case_metadata,generated_summary
vn_mds,cluster_1,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8423114593535749,0.5947006869479883,0.43682664054848186,rouge-score,unicode_char,2,1,max_rouge_tuple,15848,1577,8,26.983149286941625,,3,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_1_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_1_moa_graphsum/metadata.json,"Đảng đối lập Cứu quốc Campuchia (CNRP) đã tổ chức một đợt biểu tình kéo dài ba ngày từ ngày 23 đến 25/10 tại thủ đô Phnom Penh nhằm phản đối kết quả bầu cử Quốc hội bất thường vào tháng 7. Dưới sự dẫn dắt của chủ tịch Sam Rainsy, phe đối lập tuyên bố đây là hành động phi bạo lực nhằm đòi công lý cho cử tri và yêu cầu thành lập ủy ban độc lập điều tra sai phạm bầu cử. Dự kiến có khoảng 40.000 người tham gia từ 24 tỉnh thành, diễu hành đến Văn phòng Cao ủy nhân quyền Liên Hợp Quốc và các đại sứ quán nước ngoài (Mỹ, Pháp, Anh, Australia, Nhật Bản, Trung Quốc) để kiến nghị can thiệp. Dù chính quyền Hun Sen chỉ cho phép tối đa 10.000 người tham gia, lực lượng an ninh vẫn triển khai hàng nghìn cảnh sát để đảm bảo trật tự."
vn_mds,cluster_10,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8509485094850949,0.6081447963800904,0.5004516711833784,rouge-score,unicode_char,2,1,max_rouge_tuple,18183,1704,8,29.175370911951177,,3,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_10_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_10_moa_graphsum/metadata.json,"Nhật Bản đã phê chuẩn kế hoạch cho phép Lực lượng Tự vệ trên không bắn hạ các máy bay không người lái (UAV) nước ngoài xâm phạm không phận, nhằm đáp trả vụ UAV quân sự của Trung Quốc xâm nhập gần quần đảo Senkaku/Điếu Ngư vào tháng 9/2013. Để tăng cường phòng thủ, Nhật Bản đang xây dựng đường băng thứ hai tại sân bay Naha, dự kiến hoàn thành vào năm 2014, giúp tăng số lần cất cánh của máy bay F-15 lên 60%. Đồng thời, Tokyo cũng triển khai tàu tuần tra cỡ lớn để bảo vệ vùng biển xung quanh đảo Senkaku. Phản ứng trước động thái này, Trung Quốc bày tỏ sự tức giận, cáo buộc Nhật Bản lợi dụng ""mối đe dọa bên ngoài"" để nâng cấp năng lực quân sự và làm gia tăng căng thẳng khu vực."
vn_mds,cluster_100,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.7989510489510488,0.530647985989492,0.4388111888111888,rouge-score,unicode_char,2,1,max_rouge_tuple,18068,1814,8,31.10380190005526,,3,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_100_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_100_moa_graphsum/metadata.json,"U23 Việt Nam đã giành chiến thắng ngược dòng 3-1 trước U23 Myanmar trong trận giao hữu lượt về tại Yangon, Myanmar. Dưới sự dẫn dắt của HLV Hoàng Văn Phúc, đội tuyển Việt Nam khởi đầu không thuận lợi khi bị dẫn trước 1-0 ở hiệp một do một quả phạt đền gây tranh cãi ở phút 33. Tuy nhiên, sự thay đổi nhân sự với việc tung Văn Quyết vào sân ở hiệp hai đã giúp U23 Việt Nam kiểm soát thế trận tốt hơn. Văn Quyết ghi bàn gỡ hòa 1-1 ở phút 52, trước khi đội tuyển tiếp tục ghi thêm hai bàn thắng ở phút 80 và sau đó là một quả phạt đền của Quang Hùng để ấn định tỉ số. Kết quả này giúp U23 Việt Nam đạt chuỗi 8 trận bất bại liên tiếp trong quá trình chuẩn bị cho SEA Games 27."
vn_mds,cluster_101,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8466165413533836,0.6280120481927711,0.4105263157894737,rouge-score,unicode_char,2,1,max_rouge_tuple,16163,1676,8,28.533393035060726,,3,76,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_101_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_101_moa_graphsum/metadata.json,"Bộ Y tế đã lên án gay gắt hành vi không thể chấp nhận được của bác sĩ Nguyễn Mạnh Tường, viên chức khoa Ngoại Bệnh viện Bạch Mai, liên quan đến vụ việc chị Lê Thị Thanh Huyền tử vong tại Thẩm mỹ viện Cát Tường. Vụ việc xảy ra vào ngày nghỉ cuối tuần, ngoài giờ hành chính tại cơ sở không có giấy phép hành nghề phẫu thuật thẩm mỹ. Bộ Y tế đã chỉ đạo Bệnh viện Bạch Mai và Bệnh viện E phối hợp với cơ quan điều tra, đồng thời xem xét đình chỉ công tác tạm thời đối với bác sĩ Tường. Bộ cũng gửi công văn khẩn đề nghị UBND TP Hà Nội phối hợp chặt chẽ với Sở Y tế và các cơ quan chức năng để cung cấp thông tin, phục vụ công tác điều tra và xử lý nghiêm theo pháp luật. Đồng thời, Bộ yêu cầu tăng cường rà soát, thanh tra các cơ sở thẩm mỹ trên toàn quốc để đảm bảo an toàn cho người dân."
vn_mds,cluster_102,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8630769230769231,0.6687211093990755,0.5323076923076923,rouge-score,unicode_char,2,0,max_rouge_tuple,17353,1609,9,27.591433741967194,,4,59,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_102_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_102_moa_graphsum/metadata.json,"Chiều ngày 4/11, Công an TP Thủ Dầu Một (Bình Dương) đã công bố quyết định xử phạt hành chính đối với 27 đối tượng liên quan đến hành vi đua xe trái phép, lạng lách, đánh võng và cổ vũ đua xe gây mất an toàn giao thông. Trước đó, vào đêm 18 và 19/9, lực lượng chức năng đã tuần tra trên tuyến Quốc lộ 13 và bắt giữ nhóm thanh niên chuyên tụ tập đua xe. Tổng số tiền phạt cho 27 đối tượng lên đến gần 150 triệu đồng, trong đó 5 đối tượng đua xe trực tiếp bị phạt 76 triệu đồng, và 17 đối tượng chạy xe thành đoàn, cổ vũ đua xe bị phạt 72 triệu đồng. Cơ quan công an cũng đã tịch thu 3 phương tiện cải tiến để tham gia đua xe. Ngoài việc xử phạt, lực lượng chức năng yêu cầu phụ huynh và chính quyền địa phương tăng cường quản lý, giáo dục con em nhằm răn đe và đảm bảo an toàn giao thông."
vn_mds,cluster_103,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.814885496183206,0.5219885277246653,0.38549618320610685,rouge-score,unicode_char,2,0,max_rouge_tuple,16377,1457,9,25.107940107001923,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_103_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_103_moa_graphsum/metadata.json,"Vụ án đau lòng xảy ra tại quận Gò Vấp, TP.HCM, khi ông Vương Chí Linh (67 tuổi) tấn công vợ cũ là bà Nguyễn Thị T.V. bằng axit trước khi tự thiêu bằng xăng. Nguyên nhân bắt nguồn từ mâu thuẫn tài sản sau ly hôn. Ông Linh cho rằng bà V. đã lừa đảo để chiếm đoạt toàn bộ số nhà đất trị giá khoảng 30 tỉ đồng mà ông đã ký tặng cho bà với hy vọng được chăm sóc lúc cuối đời. Ông cũng bức xúc vì tòa án không giải quyết thỏa đáng các khiếu nại về việc phân chia tài sản chung và các sai lệch trong biên bản phiên tòa. Trước khi tự sát, ông để lại thư tuyệt mệnh và di chúc nguyện tặng phần lớn tài sản cho các cơ sở từ thiện. Cái chết của ông Linh là đỉnh điểm của sự tuyệt vọng khi niềm tin vào công lý và tình người bị đổ vỡ do lòng tham vật chất."
vn_mds,cluster_104,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.7704654895666132,0.5996784565916399,0.478330658105939,rouge-score,unicode_char,2,1,max_rouge_tuple,18719,1719,9,29.461508907959796,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_104_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_104_moa_graphsum/metadata.json,"Ngày 27/10, tại xóm 7, xã Phú Phúc, huyện Lý Nhân, tỉnh Hà Nam, đối tượng Phan Văn Sáng (SN 1988) đã thực hiện hành vi cố ý gây thương tích khiến 3 người bị bỏng nặng. Do uất ức vì yêu cầu nhượng lại mảnh đất nơi chị Trần Thị Quyên (SN 1983) đang kinh doanh hiệu thuốc không được chấp thuận, Sáng đã dùng búa đập tường, sau đó dùng can xăng 1,5 lít hắt vào tủ thuốc và bật lửa đốt. Vụ việc khiến chị Quyên cùng hai khách hàng là bà Trần Thị Bảy (thương tật 52%) và chị Trần Thị Mai (thương tật 17%) bị bỏng nặng, phải nhập viện cấp cứu tại Bệnh viện Bỏng Trung ương. Nhờ người dân kịp thời dùng cát dập tắt đám cháy nên thiệt hại không lan rộng."
vn_mds,cluster_105,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8129803586678053,0.5662959794696322,0.4030742954739539,rouge-score,unicode_char,2,1,max_rouge_tuple,16276,1669,8,28.253195032011718,,3,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_105_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_105_moa_graphsum/metadata.json,"Vụ việc bắt đầu từ ngày 20/9 khi chị Kê tử vong do treo cổ sau mâu thuẫn với chồng là Trương Văn My (38 tuổi). Dù kết quả giám định pháp y của Công an tỉnh Cà Mau xác nhận nguyên nhân tử vong là do ngạt thở cơ học và cơ quan điều tra đã ra quyết định không khởi tố vụ án hình sự, gia đình chị Kê (do ông Đoàn Văn Tòng và bà Trương Thị Em đứng đầu) vẫn không đồng ý. Họ cho rằng chị Kê bị chồng sát hại và yêu cầu khai quật mộ để khám nghiệm lại. Ngày 26/10, gia đình đã đập mồ và định mang thi hài đi khiếu kiện. Sáng 31/10, hơn 40 người thân của chị Kê mang lư hương, di ảnh và băng rôn đến trụ sở Tỉnh ủy, UBND tỉnh Cà Mau để khiếu nại. Do hành vi gây rối trật tự công cộng, Công an TP.Cà Mau đã tạm giữ 19 người."
vn_mds,cluster_106,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8278260869565217,0.6341463414634148,0.5095652173913044,rouge-score,unicode_char,2,1,max_rouge_tuple,15093,1592,9,26.84346237196587,,4,64,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_106_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_106_moa_graphsum/metadata.json,"Vào khoảng 12h30 ngày 1/11, một vụ tai nạn giao thông nghiêm trọng đã xảy ra trên quốc lộ 1A, đoạn cách cầu vượt Bình Phước khoảng 200 mét (phường Hiệp Bình Phước, quận Thủ Đức, TP.HCM). Nạn nhân là anh Nguyễn Thanh Tùng (35 tuổi, quê An Giang) đang đi bộ và mải mê nghe điện thoại nên không quan sát kỹ đường trước mặt. Do thiếu chú ý, anh Tùng đã băng ngang qua đường tại vị trí không có vạch kẻ dành cho người đi bộ và bị một xe tải nặng mang BKS 95T - 1199 do tài xế Dương Bình Hải (30 tuổi, quê Hậu Giang) điều khiển tông trúng. Cú đâm trực diện khiến anh Tùng tử vong tại chỗ. Lực lượng CSGT quận Thủ Đức đã có mặt kịp thời để khám nghiệm hiện trường và điều tra vụ việc. Hiện trường được xử lý xong vào khoảng 15h cùng ngày. Vụ việc này là lời cảnh báo về việc thiếu tập trung khi tham gia giao thông."
vn_mds,cluster_107,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,180,300,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.841802492809204,0.6090297790585976,0.44678811121764145,rouge-score,unicode_char,2,0,max_rouge_tuple,13099,1445,8,24.337485803989694,,3,41,119,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vn_mds.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,180,300,180,300,True,0.1,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_107_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vn_mds/case_studies/cluster_107_moa_graphsum/metadata.json,"Trưa ngày 1/11, người dân tại khu vực giáp ranh giữa xã Hải Ninh và Hải An, huyện Tĩnh Gia, tỉnh Thanh Hóa đã phát hiện xác một con cá voi khổng lồ dạt vào bờ khi thủy triều rút. Con cá có chiều dài trên 10m, đường kính vòng ngực khoảng 2,5m và đang trong quá trình phân hủy mạnh khiến phần đầu và đuôi bị mất, gây mùi hôi nặng. Nhiều ngư dân cho biết họ đã thấy vật thể lạ trôi trên mặt biển từ vài ngày trước và ban đầu lầm tưởng đó là xác máy bay. Do đây là loài cá quý hiếm và linh thiêng, người dân địa phương có ý định làm lễ thắp hương để cầu an. Hiện, chính quyền huyện Tĩnh Gia đang phối hợp với các cơ quan chức năng xác minh nguyên nhân cái chết và lên phương án xử lý, chôn cất xác cá trong thời gian sớm nhất để đảm bảo vệ sinh môi trường."
