dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vn_mds,cluster_1,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7017543859649122,0.3788546255506608,0.41228070175438597,rouge-score,2,1,max_mean_rouge2_rougeL,1971,222,1,6.013681646087207,5,1,"Đảng đối lập Cứu quốc Campuchia (CNRP) đang tổ chức một cuộc biểu tình phi bạo lực kéo dài ba ngày tại thủ đô Phnom Penh nhằm đòi công lý cho các cử tri trước kết quả bầu cử quốc hội bất thường vào tháng 7. Ước tính có khoảng 5.000 người tham gia diễu hành với mục tiêu thúc đẩy cải cách bầu cử và yêu cầu Liên Hiệp Quốc cùng các đại sứ quán nước ngoài can thiệp vào kết quả bầu cử. Mặc dù phe đối lập dự kiến quy tụ 40.000 người, chính quyền chỉ cho phép tối đa 10.000 người tham gia trong bối cảnh các bên đã cam kết hợp tác để ngăn chặn bạo lực. Trong khi đó, Quốc hội Campuchia đã phê chuẩn nhiệm kỳ mới của Thủ tướng Hun Sen bất chấp sự tẩy chay của phe đối lập, đồng thời kinh tế đất nước được dự báo sẽ tiếp tục tăng trưởng ổn định từ 7-7,2% trong hai năm tới."
vn_mds,cluster_10,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7948243992606284,0.48608534322820035,0.4510166358595194,rouge-score,2,1,max_mean_rouge2_rougeL,4895,225,1,6.1665499589871615,10,1,"Chính phủ Nhật Bản đã phê chuẩn kế hoạch cho phép Lực lượng Tự vệ trên không bắn hạ các máy bay không người lái (UAV) nước ngoài xâm phạm không phận, nhằm đáp trả việc UAV quân sự của Trung Quốc bay gần quần đảo Senkaku/Điếu Ngư vào ngày 9/9. Để tăng cường phòng thủ, Nhật Bản đang xây dựng thêm đường băng tại sân bay Naha để tăng 60% số lần cất cánh khẩn cấp của máy bay F-15 và triển khai tàu tuần tra cỡ lớn nhằm bảo vệ vùng biển xung quanh đảo. Trong khi Nhật Bản khẳng định chủ quyền và sẵn sàng dùng biện pháp cứng rắn để bảo vệ lãnh thổ, phía Trung Quốc phản đối gay gắt, cáo buộc Nhật Bản lợi dụng ""mối đe dọa bên ngoài"" để nâng cấp năng lực quân sự và khẳng định chủ quyền đối với đảo Điếu Ngư. Căng thẳng giữa hai nước tiếp tục leo thang với các hành động quân sự và tranh chấp lãnh thổ kéo dài kể từ năm 2012."
vn_mds,cluster_100,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7038123167155426,0.37941176470588245,0.30498533724340177,rouge-score,2,0,max_mean_rouge2_rougeL,6896,682,3,13.958694966044277,12,2,"U23 Việt Nam đã giành chiến thắng ngược dòng 3-1 trước U23 Myanmar trong trận giao hữu tại sân vận động Thuwana ở Yangon, đánh dấu trận thắng thứ hai trên đất Myanmar và duy trì thành tích 8 trận giao hữu bất bại. Dù bị dẫn trước 1-0 ở hiệp một do một quả phạt đền gây tranh cãi ở phút 33, đội tuyển Việt Nam đã thay đổi chiến thuật bằng cách đưa Văn Quyết vào sân ở hiệp hai để tăng cường hàng công. Văn Quyết ghi bàn gỡ hòa ở phút 52, sau đó U23 Việt Nam liên tiếp ghi hai bàn ở phút 80 và phút 84 để ấn định tỉ số, trong đó bàn thắng ở phút 80 đến từ sai lầm của đối phương và quả phạt đền của Quang Hùng ở phút 84. Trận đấu diễn ra trong bối cảnh căng thẳng do liên tiếp xảy ra các vụ nổ bom tại Yangon vào đêm 14.10, nhưng đoàn thể thao Việt Nam vẫn yên tâm tiếp tục tập huấn. Kết quả này giúp thầy trò HLV Hoàng Văn Phúc tạo tâm thế tự tin cho giải đấu BTV Cup 2013 sắp tới trước khi chính thức tham dự SEA Games 27 vào tháng 12.2013."
vn_mds,cluster_101,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.800658978583196,0.4793388429752066,0.3887973640856672,rouge-score,2,1,max_mean_rouge2_rougeL,2749,215,1,4.7547911970177665,8,1,"Bộ Y tế đã lên án hành vi không thể chấp nhận được của bác sĩ Nguyễn Mạnh Tường, viên chức khoa Ngoại Bệnh viện Bạch Mai, liên quan đến vụ việc chị Lê Thị Thanh Huyền tử vong tại Thẩm mỹ viện Cát Tường (số 45 đường Giải Phóng, quận Hai Bà Trưng, Hà Nội). Vụ việc xảy ra vào ngày nghỉ cuối tuần ngoài giờ hành chính tại cơ sở thẩm mỹ không có giấy phép hoạt động hành nghề phẫu thuật thẩm mỹ, với tình tiết nghiêm trọng là bác sĩ đã ném xác bệnh nhân để phi tang. Bộ Y tế đã yêu cầu Bệnh viện Bạch Mai và Bệnh viện E phối hợp với cơ quan điều tra, đồng thời yêu cầu UBND TP Hà Nội chỉ đạo Sở Y tế tăng cường rà soát, kiểm tra các cơ sở thẩm mỹ trên toàn quốc. Hiện tại, bác sĩ Nguyễn Mạnh Tường đang bị xem xét đình chỉ công tác tạm thời để phục vụ công tác điều tra và xử lý nghiêm theo quy định của pháp luật."
vn_mds,cluster_102,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7579737335834896,0.5047080979284368,0.4878048780487805,rouge-score,2,0,max_mean_rouge2_rougeL,1026,204,1,4.275904020993039,5,1,"Chiều 4/11, Đội Cảnh sát giao thông Công an TP Thủ Dầu Một (Bình Dương) đã công bố quyết định xử phạt hành chính đối với 27 đối tượng có hành vi đua xe, lạng lách, đánh võng và tổ chức cổ vũ đua xe trái phép gây mất an toàn giao thông. Trước đó, vào hai đêm 18 và 19/10, lực lượng chức năng đã phối hợp truy bắt được 10 đối tượng cùng hành vi vi phạm trên tuyến Quốc lộ 13 và tịch thu 3 phương tiện liên quan. Qua làm việc, cơ quan công an xác định đây là nhóm thanh niên thường xuyên tụ tập để tổ chức đua xe. Thượng tá Nguyễn Xuân Hoàng, Phó công an TP Thủ Dầu Một, cho biết việc xử lý nhằm răn đe các hành vi vi phạm và nhắc nhở phụ huynh chú trọng quản lý việc mua sắm, đi lại của con em."
vn_mds,cluster_103,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7098039215686274,0.3425196850393701,0.3568627450980393,rouge-score,2,1,max_mean_rouge2_rougeL,4939,183,1,5.5425353300524876,10,1,"Sáng ngày 21.10, tại quận Gò Vấp, TP.HCM, ông Vương Chí Linh (67 tuổi) đã dùng axit tạt vào người vợ cũ là bà Nguyễn Thị T.V. trước khi vào nhà tự thiêu và tử vong. Bi kịch bắt nguồn từ việc ông Linh cho rằng bà V. đã lừa đảo để chiếm đoạt toàn bộ tài sản trị giá khoảng 30 tỉ đồng và đẩy ông vào cảnh không nơi chốn sau khi ly hôn. Ông Linh từng nhiều lần khiếu nại về việc tòa án xử ép và các sai lệch trong biên bản phiên tòa nhưng không được giải quyết thỏa đáng, dẫn đến tâm lý quẫn bách và tuyệt vọng. Hiện trường vụ việc đã được cơ quan chức năng phong tỏa và thu giữ thư tuyệt mệnh cùng di chúc của ông để lại cho các cơ sở từ thiện."
vn_mds,cluster_104,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7256637168141594,0.3872113676731794,0.3823008849557522,rouge-score,2,1,max_mean_rouge2_rougeL,2582,203,1,4.675081231049262,5,1,"Ngày 30/10, Công an huyện Lý Nhân (tỉnh Hà Nam) đã khởi tố bị can Phan Văn Sáng về tội cố ý gây thương tích sau vụ phóng hỏa vào quầy bán thuốc của chị Trần Thị Quyên vào sáng ngày 27/10. Do uất ức vì yêu cầu nhượng lại đất để mở hiệu thuốc không được chấp thuận, Sáng đã dùng búa đập tường và tạt xăng đốt quầy thuốc, khiến chị Quyên cùng hai khách hàng là bà Bảy và bà Mai bị bỏng nặng với tỷ lệ thương tật lần lượt là 12%, 52% và 17%. Nhờ người dân kịp thời dùng cát dập tắt đám cháy và đưa nạn nhân đến Bệnh viện bỏng Trung ương cấp cứu, cả ba người may mắn thoát chết. Hiện cơ quan chức năng đã ra lệnh tạm giữ hình sự đối tượng Sáng để điều tra làm rõ hành vi phạm tội."
vn_mds,cluster_105,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7330677290836655,0.34800000000000003,0.3784860557768924,rouge-score,2,1,max_mean_rouge2_rougeL,2549,198,1,4.4907682810444385,6,1,"Sau khi chị Kê tử vong do treo cổ vào ngày 20/9 sau mâu thuẫn với chồng là anh Trương Văn My, gia đình chị Kê không chấp nhận kết luận của cơ quan pháp y về nguyên nhân cái chết và cho rằng chị bị chồng sát hại. Dù cơ quan chức năng đã tiến hành khám nghiệm tử thi và quyết định không khởi tố vụ án hình sự, gia đình ông Tòng vẫn thực hiện hành vi đập mồ và kéo đi khiếu kiện vào ngày 26/10. Sự việc dẫn đến việc gia đình kéo đến trụ sở Tỉnh ủy và UBND tỉnh Cà Mau gây rối trật tự công cộng, khiến công an tạm giữ 19 người, trong đó có 9 người bị bắt. Hiện tại, gia đình đã chọn cơ quan pháp y của Bộ Quốc phòng để giám định lại, trong khi các đối tượng gây rối đang tiếp tục bị điều tra và xử lý."
vn_mds,cluster_106,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7824074074074073,0.47906976744186053,0.43518518518518523,rouge-score,2,1,max_mean_rouge2_rougeL,1654,198,1,4.511685700039379,5,1,"Vào lúc 12h30 ngày 1-11, một vụ tai nạn giao thông nghiêm trọng đã xảy ra trên quốc lộ 1A, đoạn qua khu vực cầu vượt Bình Phước 1 (quận Thủ Đức, TP. Hồ Chí Minh). Anh Nguyễn Thanh Tùng (35 tuổi, quê An Giang) tử vong tại chỗ do bị xe tải nặng mang BKS 95T-1199 do tài xế Dương Bình Hải điều khiển tông trực diện khi đang đi bộ băng ngang đường trong tình trạng mải nghe điện thoại. Hiện trường vụ việc gây ùn tắc giao thông và lực lượng CSGT quận Thủ Đức đã có mặt để điều tra, đưa thi thể nạn nhân về nhà xác vào khoảng 15h cùng ngày. Người dân phản ánh đoạn đường này thường xuyên xảy ra tình trạng người đi bộ không tuân thủ luật giao thông và xe tải đổ dốc với tốc độ nguy hiểm."
vn_mds,cluster_107,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8297362110311751,0.5301204819277109,0.47002398081534774,rouge-score,2,1,max_mean_rouge2_rougeL,1471,172,1,3.5847967190202326,4,1,"Trưa ngày 1/11, người dân tại khu vực giáp ranh xã Hải Ninh và Hải An (huyện Tĩnh Gia, Thanh Hóa) phát hiện xác một con cá voi khổng lồ nặng nhiều tấn dạt vào bờ khi thủy triều rút. Con cá có chiều dài trên 10m, vòng ngực khoảng 2,5m và hiện đang trong quá trình phân hủy mạnh khiến phần đầu và đuôi bị mất. Trước đó, nhiều ngư dân đã nhìn thấy một vật lạ trôi trên mặt nước ngoài khơi và ban đầu họ lầm tưởng đó là xác máy bay. Chính quyền địa phương đang phối hợp xác minh nguyên nhân cái chết và lên phương án chôn cất, đồng thời dự kiến sẽ tổ chức làm lễ thắp hương để cầu an cho làng chài."
