dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,max_summary_words,max_output_tokens,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,rouge_tokenizer,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,community_count,moa_num_entities,moa_num_relations,moa_contrastive_relation_count,moa_config_overlays,moa_llm_base_url,moa_llm_max_tokens_param,moa_extractor_model_name,moa_extractor_lambda,moa_extractor_top_sentence_proportion,moa_kgsum_max_summary_tokens,moa_abstractor_max_summary_words,moa_abstractor_max_summary_tokens,moa_amf_max_summary_words,moa_amf_max_summary_tokens,moa_force_extractor_anchor,moa_max_kgsum_weight,moa_direct_anchor_output,moa_direct_anchor_policy,case_agent_log,case_metadata,generated_summary
vims,Cluster_001,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8364779874213837,0.5340050377833754,0.3383647798742138,rouge-score,unicode_char,2,0,max_rouge_tuple,17635,1917,9,32.80291719408706,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_001_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_001_moa_graphsum/metadata.json,"Chiếc máy bay MS 804 của hãng EgyptAir chở 66 người đã mất tích trên biển Địa Trung Hải khi đang bay từ Paris đến Cairo. Sau khi Hy Lạp tìm thấy mảnh vỡ tại đảo Karpathos, Ai Cập đã thiết lập ủy ban điều tra với sự phối hợp của Pháp và Mỹ. Các quốc gia như NATO, Italy và Canada đã gửi lời chia buồn và cam kết hỗ trợ tìm kiếm. Trong số hành khách mất tích có 56 người thuộc nhiều quốc tịch khác nhau, bao gồm Ai Cập, Pháp, Iraq, Anh, Bỉ, Kuwait, Saudi Arabia, Sudan, Chad, Bồ Đào Nha, Algeria và Canada. Hiện tại, các giả thuyết về nguyên nhân đang được tập trung vào hai hướng chính: lỗi kỹ thuật hoặc khủng bố. Bộ trưởng Hàng không Ai Cập và một số quan chức Mỹ nghiêng về khả năng máy bay bị đặt bom từ bên trong do các lỗ hổng an ninh tại các sân bay thiếu công nghệ quét hiện đại. Tuy nhiên, chính phủ Mỹ và Thủ tướng Ai Cập nhấn mạnh rằng vẫn còn quá sớm để khẳng định nguyên nhân chính xác. Việc tìm kiếm hộp đen và mảnh vỡ dự kiến sẽ gặp khó khăn do địa hình biển, mặc dù độ sâu không quá lớn như các vụ tai nạn trước đó."
vims,Cluster_002,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.7857777777777778,0.5164737310774711,0.41066666666666674,rouge-score,unicode_char,2,1,max_rouge_tuple,14205,1627,9,27.305800307076424,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_002_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_002_moa_graphsum/metadata.json,"Trong cuộc đua giành ghế Tổng thống Mỹ năm 2016, bà Hillary Clinton khẳng định việc trở thành ứng viên đại diện cho Đảng Dân chủ là điều ""đã ngã ngũ"" khi bà đang nắm ưu thế vượt trội với 2.293 phiếu đại cử tri, vượt xa đối thủ Bernie Sanders (1.528 phiếu). Dù vậy, ông Sanders vẫn quyết tâm theo đuổi đến cùng. Bà Clinton đưa ra những chỉ trích mạnh mẽ đối với đối thủ Đảng Cộng hòa, Donald Trump, gọi ông là người ""phát ngôn nguy hiểm"" và ""không đủ tư cách"" làm Tổng thống. Bà nhấn mạnh rằng các phát ngôn của ông Trump—như chỉ trích đồng minh Anh, đề xuất gặp Kim Jong-un, kêu gọi Mỹ rút khỏi NATO và ủng hộ việc cấm người Hồi giáo nhập cảnh—đang tạo ra mối đe dọa lớn cho nền dân chủ, kinh tế và sự ổn định của đất nước. Đồng thời, cả bà Clinton và ông Trump đều lên tiếng về vụ rơi máy bay MS804 của hãng EgyptAir vào ngày 19/5."
vims,Cluster_003,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8150163220892275,0.6220043572984749,0.40261153427638735,rouge-score,unicode_char,2,1,max_rouge_tuple,16207,1790,10,30.1978137929691,,5,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_003_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_003_moa_graphsum/metadata.json,"Bà Thái Anh Văn, 59 tuổi, Chủ tịch đảng Dân tiến (DPP), chính thức nhậm chức Tổng thống Đài Loan sau chiến thắng áp đảo trong cuộc bầu cử tháng 1/2016. Là nữ lãnh đạo đầu tiên của đảo, bà đối mặt với thách thức lớn trong việc vực dậy nền kinh tế đang suy thoái và giải quyết mối quan hệ căng thẳng với Trung Quốc. Dù ủng hộ sự độc lập của Đài Loan, bà khẳng định sẽ duy trì hiện trạng hòa bình dựa trên sự tôn trọng nền dân chủ. Trong khi đó, Bắc Kinh coi Đài Loan là tỉnh ly khai và liên tục gia tăng áp lực quân sự. Trước ngày bà tuyên thệ, Trung Quốc đã thực hiện các cuộc tập trận đổ bộ quy mô lớn phối hợp nhiều binh chủng tại vùng biển gần Đài Loan nhằm nâng cao năng lực chiến đấu và răn đe các ý đồ độc lập. Báo cáo của Lầu Năm Góc cũng cảnh báo về các kế hoạch ""đổ bộ xâm chiếm"" của Trung Quốc bằng lực lượng hải quân, không quân và tác chiến điện tử. Sự kiện này diễn ra trong bối cảnh ông Mã Anh Cửu, người tiền nhiệm, đối mặt với các vấn đề pháp lý và sự sụt giảm ủng hộ do quản lý kinh tế kém."
vims,Cluster_004,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8246575342465753,0.5075445816186557,0.39863013698630134,rouge-score,unicode_char,2,0,max_rouge_tuple,18436,1855,10,31.54379672301002,,5,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_004_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_004_moa_graphsum/metadata.json,"Tại hội thảo “TP HCM - Khát vọng vươn lên”, các chuyên gia và lãnh đạo đã thẳng thắn nhìn nhận thực trạng TP HCM đang bị tụt hậu so với các đô thị lớn trong khu vực như Singapore hay Thẩm Quyến. TS Trần Đình Thiên và các chuyên gia nhấn mạnh TP HCM đang là ""đầu tàu"" nhưng lại vận hành với tốc độ của ""toa tàu"" do vướng mắc bởi cơ chế ""xin - cho"", sự phân bổ ngân sách thiếu hợp lý và hệ thống thể chế chồng chéo. Ông Huỳnh Thế Du bổ sung rằng đội ngũ công chức đang thiếu động lực sáng tạo do cơ chế trách nhiệm tập thể không phân định rõ ràng hiệu quả công việc. Tiến sĩ Vũ Minh Khương cảnh báo nguy cơ TP HCM rơi vào bẫy thu nhập trung bình và đề xuất giải pháp ""H"" (Hy vọng, Hội tụ, Hào kiệt) cùng ""bài toán săn hươu"" để tạo sự đồng bộ và kỷ luật. Chủ tịch UBND TP Nguyễn Thành Phong cam kết xây dựng thành phố văn minh, hiện đại và đề xuất 7 chương trình đột phá, trong đó nhấn mạnh việc xã hội hóa các dự án trọng điểm thông qua đối tác công tư (PPP) để giải quyết thiếu hụt nguồn vốn đầu tư."
vims,Cluster_005,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8318462594371997,0.6130584192439862,0.5271105010295126,rouge-score,unicode_char,2,0,max_rouge_tuple,15508,1683,8,28.40146664797794,,3,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_005_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_005_moa_graphsum/metadata.json,"Hội Nghề cá Việt Nam, dưới sự dẫn dắt của Chủ tịch Phạm Việt Thắng, đã gửi công văn kiến nghị Chính phủ và các bộ ngành liên quan đẩy nhanh việc xác định nguyên nhân cá chết hàng loạt tại các tỉnh miền Trung (Hà Tĩnh, Quảng Bình, Quảng Trị, Thừa Thiên - Huế) từ tháng 4 đến tháng 5 năm 2016. Hội bày tỏ lo ngại rằng việc chậm trễ công bố kết quả sẽ khiến chất độc trong trầm tích đáy biển bị pha loãng và các mẫu cá chết hết hạn lưu mẫu bị tiêu hủy, gây khó khăn cho việc truy tìm nguyên nhân chính xác. Việc xác định nguyên nhân sớm là cần thiết để trấn an dư luận, đảm bảo an toàn thực phẩm theo Hiệp định SPS của WTO và giúp ngư dân, hộ nuôi cá, nuôi tôm sớm phục hồi sản xuất. Hội đề nghị tiếp tục hỗ trợ 15 kg gạo/người/tháng cho các gia đình bị thiệt hại cho đến khi sản xuất phục hồi. Đồng thời, Hội yêu cầu nếu do con người gây ra, thủ phạm phải chịu trách nhiệm pháp lý, bồi thường chi phí hỗ trợ của Chính phủ và chi phí phục hồi môi trường sinh thái. Hội cũng kiến nghị bổ sung chính sách kiểm soát chất thải sản xuất để đảm bảo môi trường bền vững."
vims,Cluster_006,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8683574879227053,0.6626360338573156,0.46256038647343,rouge-score,unicode_char,2,1,max_rouge_tuple,15001,1790,9,30.083785802009515,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_006_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_006_moa_graphsum/metadata.json,"Chiều ngày 19/5, tại thị trấn Thanh Sơn, huyện Sơn Động, tỉnh Bắc Giang, cơ quan chức năng phát hiện một vụ việc đau lòng liên quan đến cái chết của vợ chồng anh Đỗ Viết T. (33 tuổi) và chị Vũ Thị L. (28 tuổi), quê ở huyện Thiệu Hóa, Thanh Hóa. Cặp vợ chồng này cùng làm việc tại một công ty than tại địa phương và có hoàn cảnh kinh tế khó khăn, thường xuyên xảy ra mâu thuẫn trong thời gian gần đây. Theo điều tra ban đầu, sau khi tan ca buổi sáng vào khoảng 11h trưa ngày 19/5, hai vợ chồng về nhà trọ. Tuy nhiên, đến khoảng 12h, anh T. quay trở lại công ty và một tiếng nổ lớn đã vang lên. Đồng nghiệp phát hiện anh T. tử vong do dùng vật liệu nổ tự sát tại phòng bảo vệ. Khi người dân phá cửa căn nhà trọ gần đó để thông báo cho chị L., họ phát hiện chị đã tử vong trong tư thế bị trói. Cơ quan Công an tỉnh Bắc Giang đang phối hợp với Công an huyện Sơn Động khám nghiệm hiện trường và tử thi để làm rõ nguyên nhân. Giả thuyết hiện tại cho rằng do mâu thuẫn, anh T."
vims,Cluster_007,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8571428571428571,0.7010435850214856,0.48313917841814835,rouge-score,unicode_char,2,1,max_rouge_tuple,16958,1834,9,31.12226447102148,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_007_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_007_moa_graphsum/metadata.json,"Vào khoảng 15h45 ngày 19/5, tại số nhà 93 đường Giải Phóng, phường Tân Thành, TP. Buôn Ma Thuột, tỉnh Đắk Lắk, anh Phạm Đức Huy (31 tuổi, trú tại phường Khánh Xuân) đã tử vong do điện giật trong lúc thực hiện công việc. Theo các nguồn tin, anh Huy điều khiển xe tải mang BKS 47C-114.26 đến bãi thu mua lốp cũ của gia đình ông Trần Hữu Trung (hoặc ông Trần Thủy Chung) để bốc hàng. Do thùng xe bị hư hỏng, anh Huy đã tự kéo điện để hàn lại cửa xe. Trong quá trình làm việc, anh bất ngờ bị điện giật mạnh đến mức bất tỉnh nhân sự và nằm ngửa trên đất, trong khi toàn bộ xe bị nhiễm điện. Khoảng 16h cùng ngày, chủ cơ sở phát hiện và lập tức hô hoán mọi người ngắt cầu dao điện, đồng thời đưa nạn nhân đến Bệnh viện Đa khoa tỉnh Đắk Lắk cấp cứu nhưng anh Huy đã tử vong trước đó. Lực lượng Công an TP. Buôn Ma Thuột đã nhanh chóng có mặt tại hiện trường để khám nghiệm và tiến hành điều tra, làm rõ nguyên nhân vụ tai nạn lao động này."
vims,Cluster_008,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.8553240740740742,0.5816917728852838,0.37037037037037035,rouge-score,unicode_char,2,1,max_rouge_tuple,17122,1843,9,31.1270467719296,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_008_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_008_moa_graphsum/metadata.json,"Lực lượng Cảnh sát Giao thông (CSGT) tại Hà Nội, đặc biệt là Đội CSGT số 4 và Đội CSGT số 14, đang quyết liệt ra quân xử lý các phương tiện vi phạm như xe ba bánh tự chế giả danh xe thương binh và các loại xe máy cũ nát, quá ""đát"". Qua kiểm tra tại các điểm nóng như cầu Mai Động và khu vực Kim Đồng - Giải Phóng, lực lượng chức năng đã phát hiện nhiều trường hợp lái xe không có bằng lái, không đăng ký xe và không có giấy tờ chứng minh thương binh hợp lệ. Các phương tiện này thường có tình trạng hư hỏng đèn còi, khung máy hoen gỉ, nhả khói đen và chở hàng hóa cồng kềnh, gây mất an toàn giao thông và ô nhiễm môi trường nghiêm trọng. Nhiều lái xe còn có hành vi lạng lách, vượt ẩu và cố tình né tránh kiểm tra bằng cách gọi điện thoại xin hỗ trợ. Để lập lại trật tự đô thị, CSGT đã kiên quyết lập biên bản, xử phạt và tạm giữ phương tiện. Các chuyên gia kiến nghị cần nâng mức xử phạt, tăng cường tuyên truyền và phối hợp rà soát các cơ sở sản xuất xe tự chế để giải quyết triệt để tình trạng này thay vì chỉ thực hiện các đợt ra quân ngắn hạn."
vims,Cluster_009,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.6840855106888362,0.5075337034099922,0.40380047505938244,rouge-score,unicode_char,2,1,max_rouge_tuple,12313,1479,8,24.701332647935487,,3,64,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_009_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_009_moa_graphsum/metadata.json,"Title: Nổ lớn tại căn cứ quân sự Mỹ ở Hàn Quốc Source: Dân Trí Các quan chức Hàn Quốc giấu tên cho biết, khoảng 20 khoang chứa oxy, mỗi khoang nặng khoảng 50 kg đã phát nổ. Title: Nổ lớn tại căn cứ quân sự Mỹ ở Hàn Quốc Source: Tiền Phong Theo hãng thông tấn Yonhap News, vụ việc xảy ra vào khoảng 14h30 (giờ địa phương) tại căn cứ Carroll, cách thủ đô Seoul khoảng 300km về phía đông nam. Title: Nổ liên tiếp tại căn cứ quân sự Mỹ ở Hàn Quốc Source: Alo Bác Sĩ Hãng thông tấn Yonhap của Hàn Quốc ngày 19/5 đưa tin, đã xảy ra các vụ nổ khí ga kèm theo cháy tại căn cứ quân sự của Mỹ ở khu vực Đông Nam Hàn Quốc. Theo đó, khoảng 10 vụ nổ khí ga liên tiếp đã xảy ra vào lúc 14g28 (giờ địa phương) tại căn cứ quân sự Caroll, tỉnh Gyeongsang. Title: Cháy ngùn ngụt ở căn cứ quân sự Mỹ Source: Người Lao Động Theo hãng tin AP, các vụ nổ xảy ra tại căn cứ quân sự Mỹ Camp Carroll, cách thủ đô Seoul khoảng 280 km về phía Đông Nam. Title: Lửa cháy ngùn ngụt tại căn cứ quân sự của Mỹ ở Hàn Quốc Source: Viet Times Hiện chưa có báo cáo về thương vong."
vims,Cluster_010,moa_mds,moa_mds,,,,True,moa_mds,,,,,,,,,,235,380,moa_mds,lexical_centroid,openai_compatible,/data,,,,0.85,0.7956989247311828,0.569971671388102,0.45727221279003966,rouge-score,unicode_char,2,1,max_rouge_tuple,18831,1961,9,33.33373309799936,,4,80,120,0,/home/loli/projects/VDT/libs/MoA-MDS/configs/storage.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/base.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/agents/default.yaml;/home/loli/projects/VDT/libs/MoA-MDS/configs/evaluations/vims.yaml,http://vllm-gemma4-gemma-1.vietteldmp.local/v1,max_tokens,lexical_centroid,0.7,0.15,300,235,380,235,380,True,0.08,True,always,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_010_moa_graphsum/agent_log.json,/home/loli/projects/VDT/runs/moa_mds_case_studies/vims/case_studies/Cluster_010_moa_graphsum/metadata.json,"Cơ quan chức năng tỉnh Gia Lai đang điều tra vụ việc ông Phạm Ngọc Hùng (57 tuổi, trú tại TP. Pleiku) giả danh cán bộ Công an và phóng viên Báo Công an TP. Đà Nẵng để lừa đảo chiếm đoạt tài sản. Cụ thể, bà Nông Thị Tươi đã gửi đơn cầu cứu tố cáo ông Hùng nhận 100 triệu đồng để ""chạy"" việc cho cháu bà là Dương Hoàng Phú vào công an chuyên nghiệp. Dù có giấy biên nhận tiền với các chức danh giả mạo như ""nguyên cán bộ A43"" hay ""đơn vị A35"", ông Hùng đã không thực hiện được công việc và từ chối trả lại tiền, thậm chí còn có hành vi thách thức, chửi bới khi bị yêu cầu hoàn trả. Qua điều tra, Công an TP. Pleiku xác định ông Hùng còn lừa đảo nhiều người dân khác tại huyện Phú Thiện, bao gồm việc nhận 6 triệu đồng để lo cho con gái bà Hoàng Thị Bạch vào trường Trung cấp Quân y. Lãnh đạo Báo Công an TP. Đà Nẵng khẳng định không có nhân viên hay cộng tác viên nào tên Phạm Ngọc Hùng và đã báo cáo lên cơ quan chức năng để xử lý. Công an TP. Pleiku kêu gọi các nạn nhân khác liên hệ để cung cấp chứng cứ."
