dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vims,Cluster_001,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.763157894736842,0.43076923076923074,0.3881578947368421,rouge-score,2,1,max_mean_rouge2_rougeL,17402,1026,4,25.035719257895835,33,3,"Máy bay Airbus A320-232 của hãng EgyptAir mang số hiệu MS804, chở 66 người trên khoang, đã biến mất khỏi màn hình radar và rơi xuống biển Địa Trung Hải vào sáng ngày 19/5 khi đang trên đường bay từ Paris đến Cairo. Các cơ quan chức năng cho biết ở những thời khắc cuối cùng trước khi mất tích, máy bay bất ngờ thực hiện các cú rẽ ngoặt sang phải, sau đó sang trái và hạ độ cao nhanh chóng từ trên 11.000m xuống hơn 4.500m rồi 3.000m. Hiện tại, các cơ quan chức năng Ai Cập, Pháp, Hy Lạp và Mỹ đang phối hợp điều tra và tìm kiếm mảnh vỡ. Mặc dù ban đầu có thông tin về việc tìm thấy mảnh vỡ gần đảo Crete và đảo Karpathos, hãng EgyptAir sau đó đã đính chính rằng những mảnh vỡ đó không thuộc về chiếc MS804, do đó chiến dịch tìm kiếm vẫn đang tiếp diễn.

Giới chức địa phương và quốc tế hiện đang nghiêng về giả thuyết máy bay bị tấn công khủng bố bằng bom hẹn giờ, do máy bay biến mất đột ngột mà không có tín hiệu cầu cứu, tương tự như vụ nổ máy bay Metrojet vào tháng 10/2015. Tuy nhiên, các giả thuyết khác như lỗi kỹ thuật hoặc bị tấn công bởi tên lửa đất đối không vẫn chưa bị loại trừ vì hình ảnh vệ tinh chưa cho thấy dấu hiệu nổ trên không. Các nạn nhân bao gồm 7 thành viên phi hành đoàn, 3 nhân viên bảo vệ, 30 công dân Ai Cập, 17 công dân Pháp cùng các công dân của Iraq, Arab Saudi và các quốc gia khác. Tổng thống Ai Cập và Tổng thống Pháp đã yêu cầu lập ủy ban điều tra thấu đáo, đồng thời các quốc gia như NATO và Canada cũng bày tỏ sự sẵn sàng hỗ trợ tìm kiếm và chia buồn với các nạn nhân."
vims,Cluster_002,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7658643326039387,0.36923076923076925,0.3807439824945296,rouge-score,2,1,max_mean_rouge2_rougeL,2980,208,1,5.19014448102098,7,1,"Bà Hillary Clinton khẳng định việc trở thành ứng viên đại diện cho Đảng Dân chủ tranh chức Tổng thống Mỹ là điều đã ngã ngũ khi bà đang nắm ưu thế vượt trội về số phiếu đại biểu so với đối thủ Bernie Sanders. Trong cuộc phỏng vấn với CNN ngày 19/5, bà Clinton đồng thời chỉ trích gay gắt tỷ phú Donald Trump là người ""phát ngôn nguy hiểm"" và không đủ tư cách làm tổng thống do những quan điểm gây tranh cãi về NATO, vũ khí hạt nhân và việc cấm người Hồi giáo nhập cảnh. Liên quan đến vụ rơi máy bay MS804 của hãng EgyptAir tại Địa Trung Hải cùng ngày, bà Clinton nhận định đây có thể là một hành vi khủng bố và nhấn mạnh các mối đe dọa từ các nhóm khủng bố có tổ chức. Trong khi đó, ông Trump cũng lên tiếng về vụ việc trên Twitter và tiếp tục kêu gọi trấn áp mạnh mẽ chủ nghĩa khủng bố Hồi giáo cực đoan."
vims,Cluster_003,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8038834951456311,0.4785992217898833,0.35145631067961164,rouge-score,2,1,max_mean_rouge2_rougeL,9981,1053,4,21.002164809964597,21,3,"Bà Thái Anh Văn chính thức nhậm chức vào ngày 20/05 với tư cách là nữ lãnh đạo đầu tiên của Đài Loan, sau chiến thắng áp đảo trước đối thủ Chu Lập Luân của Quốc Dân đảng (KMT) trong cuộc bầu cử tháng 1/2016. Sự kiện nhậm chức tại Đài Bắc với sự tham dự của gần 700 nguyên thủ và nhà ngoại giao diễn ra trong bối cảnh quan hệ giữa Đài Loan và Trung Quốc đang trở nên nguội lạnh do xu hướng ủng hộ độc lập của Đảng Dân tiến (DPP). Trong vai trò mới, bà Thái phải đối mặt với thách thức lớn là vực dậy nền kinh tế đang suy thoái do xuất khẩu giảm mạnh, đồng thời phải cân bằng giữa mong muốn của cử tri với áp lực từ Bắc Kinh, vốn đang đe dọa sử dụng vũ lực để chiếm lại lãnh thổ.

Mặc dù giữ quan điểm cứng rắn yêu cầu Trung Quốc phải tôn trọng nền dân chủ của Đài Loan, bà Thái cam kết duy trì hiện trạng hòa bình và ổn định. Tuy nhiên, Bắc Kinh đã gia tăng áp lực thông qua các biện pháp ngoại giao, yêu cầu trục xuất công dân Đài Loan tại Kenya và tổ chức các cuộc tập trận quân sự quy mô lớn. Lầu Năm Góc cảnh báo Trung Quốc đang mở rộng năng lực quân sự với các kế hoạch ""đổ bộ xâm chiếm"" phối hợp nhiều binh chủng, trong khi Bộ Quốc phòng Trung Quốc khẳng định đây chỉ là huấn luyện định kỳ. Các chuyên gia nhận định những cuộc tập trận do quân khu Phúc Kiến thực hiện là thông điệp răn đe mạnh mẽ đối với ý định độc lập của Đài Loan.

Để đối phó với sự suy thoái kinh tế và áp lực địa chính trị, bà Thái dự kiến sẽ tập trung vào phát triển bền vững và thúc đẩy chính sách ""hướng Nam"" nhằm tăng cường hợp tác kinh tế với các quốc gia Đông Nam Á. Dù bà muốn duy trì nguyên trạng quan hệ, sự căng thẳng leo thang và bất ổn chính trị đã khiến chỉ số chứng khoán của Đài Loan sụt giảm đáng kể."
vims,Cluster_004,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.5876993166287016,0.3493150684931507,0.3189066059225512,rouge-score,2,0,max_mean_rouge2_rougeL,23363,1274,5,31.805299691041,54,4,"Hội thảo ""TP.HCM - Khát vọng vươn lên"" do báo Tuổi Trẻ tổ chức đã thu hút đông đảo lãnh đạo trung ương, địa phương, chuyên gia và doanh nghiệp cùng tham dự để thảo luận về định hướng phát triển của thành phố trong tương lai. Tại sự kiện, Chủ tịch UBND TP.HCM Nguyễn Thành Phong đã tiếp nhận hơn 9.500 ý kiến hiến kế từ người dân và các chuyên gia, đồng thời cam kết nỗ lực cải thiện môi trường sống và năng lực cạnh tranh để đưa thành phố vươn tầm ngang với các đô thị phát triển trong khu vực. Các đại biểu nhấn mạnh tầm quan trọng của việc tạo ra những đột phá về thể chế để vượt qua các rào cản hiện tại, đặc biệt là việc thay đổi cơ chế ""xin - cho"" gây thiếu động lực và thiếu hụt công cụ làm việc của đội ngũ công chức. Để bứt phá, các chuyên gia đề xuất cần có cơ chế vượt trội về phân bổ nguồn lực, một thể chế rộng mở hơn nhằm giúp TP.HCM thực sự trở thành động lực tăng trưởng cho cả nước. Thành phố đang nỗ lực thay đổi đẳng cấp để trở thành trung tâm kinh tế, công nghiệp và dịch vụ hiện đại thông qua 7 chương trình đột phá, với nhu cầu vốn đầu tư lớn hơn 215.000 tỷ đồng (trong đó thiếu hụt khoảng 85.000 tỷ đồng so với ngân sách dự kiến). Các giải pháp chiến lược bao gồm xã hội hóa các dự án trọng điểm qua hình thức đối tác công tư (PPP), tập trung phát triển bán đảo Thủ Thiêm, hiện đại hóa hạ tầng giao thông công cộng và xây dựng hệ thống quản trị đô thị minh bạch. Đồng thời, thành phố định hướng hiện đại hóa toàn diện từ việc kiểm soát dòng di cư, chuyển đổi cơ cấu ngành nghề công nghệ cao đến việc quy hoạch không gian đô thị thông minh, bền vững và kết nối vùng hiệu quả. Tuy nhiên, hội thảo cũng ghi nhận những ý kiến trái chiều về việc thành phố vẫn chưa có tầm nhìn dài hạn và còn gặp khó khăn trong công tác tổ chức thực hiện thực tế."
vims,Cluster_005,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.6784363177805802,0.4753476611883692,0.501891551071879,rouge-score,2,0,max_mean_rouge2_rougeL,6454,810,3,15.437694798922166,15,2,"Hội Nghề cá Việt Nam vừa gửi công văn đề nghị Chính phủ và các bộ ngành đẩy nhanh việc xác định nguyên nhân cá chết hàng loạt tại các tỉnh từ Hà Tĩnh đến Thừa Thiên - Huế trong khoảng thời gian từ tháng 4 đến tháng 5 năm 2016. Ông Phạm Việt Thắng, Chủ tịch Hội Nghề cá, bày tỏ lo ngại rằng việc chậm trễ công bố kết quả sẽ khiến chất độc trong trầm tích ở đáy biển bị pha loãng dần, đồng thời các mẫu cá chết từ đầu tháng 4/2016 lưu tại phòng kiểm nghiệm sắp hết hạn và bị tiêu hủy, gây khó khăn cho việc truy tìm nguyên nhân chính xác. Việc xác định nguyên nhân sớm được nhấn mạnh là cần thiết để trấn an dư luận, bảo vệ người tiêu dùng và tuân thủ Hiệp định SPS của WTO.

Hội Nghề cá kiến nghị tiếp tục hỗ trợ 15kg gạo/tháng cho mỗi thành viên gia đình bị thiệt hại cho đến khi sản xuất phục hồi, bên cạnh các chính sách giãn nợ và giảm lãi suất cho vay đã được áp dụng. Hội cũng yêu cầu các cơ quan chức năng xem xét bổ sung chính sách kiểm soát chất thải sản xuất. Đặc biệt, nếu nguyên nhân do con người gây ra, Hội đề nghị xử lý nghiêm thủ phạm theo quy định pháp luật, yêu cầu thủ phạm phải chi trả toàn bộ phí hỗ trợ mà Chính phủ đã ứng trước cho ngư dân, đồng thời đền bù những thiệt hại về tài nguyên sinh vật biển bị hủy hoại và chi phí phục hồi môi trường sinh thái của vùng biển chịu tác động. Mặc dù Thứ trưởng Bộ Khoa học và Công nghệ cho biết đã có cơ sở để đưa ra câu trả lời khoa học, nhưng đến nay các bộ liên quan vẫn chưa có văn bản trả lời chính thức cho kiến nghị của Hội."
vims,Cluster_006,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8169014084507041,0.46892655367231634,0.37746478873239436,rouge-score,2,1,max_mean_rouge2_rougeL,8546,630,3,13.97471950110048,20,2,"Chiều ngày 19/5, tại thị trấn Thanh Sơn, huyện Sơn Động, tỉnh Bắc Giang, cơ quan chức năng phát hiện một cặp vợ chồng là anh Đỗ Viết Tuấn (33 tuổi) và chị Vũ Thị Lan (28 tuổi), quê ở Thanh Hóa, tử vong bất thường. Qua điều tra ban đầu, cơ quan công an xác định anh Tuấn đã tử vong do dùng vật liệu nổ để tự sát tại phòng bảo vệ của công ty than nơi anh làm việc sau một tiếng nổ lớn. Trong khi đó, chị Lan tử vong tại nhà trọ gần công ty trong tư thế bị trói chặt chân tay và cổ bị siết. Hai vợ chồng vốn có hoàn cảnh kinh tế khó khăn, không có con và thường xuyên xảy ra mâu thuẫn, cãi vã với nhau. Căn cứ dấu vết hiện trường, hiện có giả thuyết cho rằng người chồng đã sát hại vợ rồi dùng vật liệu nổ tự vẫn, sau đó lo sợ bị phát hiện nên đã khóa cửa lại trước khi đến công ty. Tuy nhiên, cơ quan công an hiện vẫn chưa công bố kết luận chính thức và đang tiếp tục điều tra, khám nghiệm hiện trường, tử thi để làm rõ nguyên nhân vụ việc theo quy định của pháp luật."
vims,Cluster_007,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8376534788540245,0.5772913816689466,0.5047748976807641,rouge-score,2,1,max_mean_rouge2_rougeL,4557,751,3,14.104716861038469,11,2,"Khoảng 15h45 ngày 19/5, anh Phạm Đức Huy (31 tuổi, trú tại phường Khánh Xuân, TP. Buôn Ma Thuột, tỉnh Đắk Lắk) tử vong do bị điện giật trong lúc thực hiện việc kéo điện để hàn lại thùng xe ô tô tải mang BKS: 47C-114.26. Sự việc xảy ra tại bãi thu mua lốp xe cũ của gia đình ông Trần Hữu Trung (hoặc Trần Thủy Chung) tại số 93 đường Giải Phóng, phường Tân Thành, TP. Buôn Ma Thuột. Theo thông tin ban đầu, trước đó khoảng 1 tiếng, anh Huy đến bãi tập kết lốp cũ để bốc lốp xe lên ô tô tải. Khi phát hiện thùng xe bị hư, anh Huy đã kéo điện ra để hàn cửa xe cho khách hàng và bất ngờ bị điện giật dẫn đến bất tỉnh nhân sự. Khoảng 20 phút sau, khi ông Trung ra ngoài và phát hiện nạn nhân nằm bất động bên cạnh máy hàn, toàn bộ thùng xe bị nhiễm điện, ông đã lập tức hô hoán mọi người hỗ trợ, ngắt nguồn điện và đưa anh Huy đến Bệnh viện Đa khoa tỉnh Đắk Lắk cấp cứu nhưng không qua khỏi. Cơ quan CSĐT TP. Buôn Ma Thuột đã có mặt tại hiện trường để tiến hành khám nghiệm, lấy lời khai của những người liên quan nhằm làm rõ nguyên nhân vụ việc."
vims,Cluster_008,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7730673316708229,0.4125,0.3566084788029925,rouge-score,2,1,max_mean_rouge2_rougeL,6505,804,3,15.764692955999635,15,2,"Lực lượng Cảnh sát giao thông (CSGT) Hà Nội đang quyết liệt xử lý tình trạng xe ba bánh tự chế, đặc biệt là các phương tiện giả danh xe thương binh gây mất an toàn giao thông và ô nhiễm môi trường. Tại các điểm nóng như đường Giải Phóng, Kim Đồng, Đê La Thành, Hoàng Cầu và Trường Chinh, lực lượng chức năng đã lập biên bản, xử phạt và tạm giữ hàng loạt phương tiện không đăng ký, không giấy phép lái xe do những người trẻ tuổi điều khiển. Trong 10 ngày từ 15/5 đến 25/5, Đội CSGT số 14 đã tạm giữ 40 phương tiện, trong khi Đội CSGT số 3 xử phạt hơn 200 trường hợp vi phạm trong 7 ngày triển khai Thông báo 149, bao gồm 20 xe ba bánh giả xe thương binh. Qua kiểm tra, hầu hết các xe này đều là xe tự chế từ xe máy cũ, không có biển kiểm soát, tình trạng hư hỏng đèn còi, khung máy hoen gỉ và thường xuyên phóng nhanh, vượt đèn đỏ, chở hàng cồng kềnh lấn đường. Nhiều chủ phương tiện không xuất trình được giấy tờ đăng ký, bằng lái, thẻ thương binh hay bảo hiểm y tế cho người có công, đồng thời có hành vi cố tình lảng tránh hoặc xin xỏ khi bị kiểm tra. Để giải quyết triệt để, cơ quan chức năng kiến nghị nâng mức xử phạt, tăng cường tuyên truyền và phối hợp với công an địa phương rà soát các cơ sở sản xuất xe ba bánh tự chế nhằm lập lại trật tự đô thị và đảm bảo an toàn giao thông."
vims,Cluster_009,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7334851936218679,0.48512585812356984,0.4464692482915718,rouge-score,2,1,max_mean_rouge2_rougeL,1994,231,1,4.671720406971872,7,1,"Vào lúc 14g28 ngày 19/5, một loạt các vụ nổ khí ga và oxy đã xảy ra tại căn cứ quân sự Carroll của quân đội Mỹ ở tỉnh Gyeongsang, cách thủ đô Seoul 280 km về phía đông nam. Các quan chức Hàn Quốc cho biết khoảng 20 khoang chứa oxy nặng 50 kg cùng một số khoang nhỏ hơn đã phát nổ, khiến một căn nhà tại căn cứ bị thiêu rụi hoàn toàn và các mảnh vỡ văng ra ngoài gây cháy nhỏ tại các nhà dân và trang trại lân cận. Lực lượng cứu hỏa đã huy động 18 xe cứu hỏa để dập tắt đám cháy trong vòng chưa đầy một giờ đồng hồ, trong khi quân đội Mỹ hiện đang tiến hành điều tra nguyên nhân chính xác của vụ việc. Hiện tại, chưa có báo cáo về thương vong, và căn cứ này là nơi đồn trú của khoảng 28.500 binh lính Mỹ nhằm răn đe các mối đe dọa từ Triều Tiên."
vims,Cluster_010,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7864321608040201,0.5163727959697733,0.4045226130653266,rouge-score,2,1,max_mean_rouge2_rougeL,7083,730,3,15.172289035981521,17,2,"Cơ quan Công an TP. Pleiku, tỉnh Gia Lai đang điều tra vụ việc ông Phạm Ngọc Hùng (57 tuổi, trú tại xã Trà Đa, TP. Pleiku) bị cáo buộc giả danh cán bộ Bộ Công an và phóng viên Báo Công an TP. Đà Nẵng để lừa đảo nhiều người dân tại huyện Phú Thiện với chiêu bài ""chạy việc"". Cụ thể, ông Hùng đã nhận 100 triệu đồng từ bà Nông Thị Tươi để lo việc cho cháu bà vào công an chuyên nghiệp và 6 triệu đồng từ bà Hoàng Thị Bạch để cho con gái vào trường Trung cấp Quân y nhưng không thực hiện. Trong các giấy biên nhận viết tay, ông Hùng mạo danh là nguyên cán bộ A43 hoặc A35 của Bộ Công an, hiện đang công tác tại Báo Công an TP. Đà Nẵng. Ban biên tập Báo Công an TP. Đà Nẵng đã xác nhận ông Hùng không phải là nhân viên của đơn vị và đề nghị cơ quan chức năng khẩn trương điều tra. Công an TP. Pleiku hiện đang tiếp nhận đơn cầu cứu của bà Tươi và kêu gọi các nạn nhân khác liên hệ đến trụ sở Công an TP. Pleiku (Số 11 – Hai Bà Trưng, TP. Pleiku) hoặc số điện thoại trực ban 0593.821.625 để cung cấp chứng cứ. Ngoài ra, tại Hà Nội, lực lượng chức năng cũng phát hiện hai trường hợp giả mạo thẻ biên tập viên của báo Vietnamnet để trục lợi và đã yêu cầu xử lý nghiêm."
