dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count,generated_summary
vn_mds,cluster_1,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7491749174917492,0.4072847682119206,0.39603960396039606,rouge-score,2,0,max_mean_rouge2_rougeL,1971,215,1,5.605802108999342,5,1,"Đảng đối lập Cứu quốc Campuchia (CNRP) đang tổ chức cuộc biểu tình kéo dài ba ngày tại thủ đô Phnom Penh để đòi công lý cho các cử tri trước kết quả bầu cử quốc hội bất thường vào tháng 7. Đoàn diễu hành dự kiến quy tụ tới 40.000 người nhằm gửi đơn kiến nghị đến Văn phòng nhân quyền Liên Hiệp Quốc và các đại sứ quán nước ngoài để yêu cầu can thiệp và cải cách cơ chế bầu cử. Mặc dù chính quyền chỉ cho phép tối đa 10.000 người tham gia, lực lượng an ninh vẫn triển khai hàng nghìn cảnh sát để giám sát và ngăn chặn bạo động sau khi một cuộc biểu tình trước đó đã gây thương vong. Bất chấp sự phản đối và tẩy chay của phe đối lập, Quốc hội Campuchia vẫn phê chuẩn nhiệm kỳ mới cho Thủ tướng Hun Sen trong khi kinh tế quốc gia được dự báo sẽ tiếp tục tăng trưởng ổn định từ 7-7,2%."
vn_mds,cluster_10,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7777777777777778,0.5018587360594796,0.46296296296296297,rouge-score,2,1,max_mean_rouge2_rougeL,4895,226,1,6.140000908984803,10,1,"Chính phủ Nhật Bản đã phê chuẩn kế hoạch cho phép Lực lượng Tự vệ trên không bắn hạ các máy bay không người lái (UAV) nước ngoài xâm phạm không phận, nhằm đáp trả việc UAV quân sự của Trung Quốc tiến vào vùng biển gần quần đảo Senkaku/Điếu Ngư vào ngày 9/9. Để tăng cường phòng thủ, Nhật Bản đang xây dựng thêm đường băng tại sân bay Naha để tăng 60% tần suất cất cánh của máy bay chiến đấu F-15 và triển khai tàu tuần tra cỡ lớn nhằm bảo vệ khu vực. Phản ứng trước động thái này, Trung Quốc bày tỏ sự tức giận, cáo buộc Nhật Bản lợi dụng ""mối đe dọa bên ngoài"" để nâng cấp năng lực quân sự và khẳng định chủ quyền đối với đảo Điếu Ngư. Căng thẳng giữa hai nước tiếp tục leo thang kể từ khi Nhật Bản quốc hữu hóa đảo Senkaku vào tháng 9/2012, dẫn đến các hoạt động đối đầu quân sự thường xuyên tại khu vực này."
vn_mds,cluster_100,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7177304964539007,0.37837837837837834,0.33758865248226955,rouge-score,2,0,max_mean_rouge2_rougeL,6907,713,3,14.501064278068952,12,2,"U23 Việt Nam đã giành chiến thắng thuyết phục 3-1 trước U23 Myanmar trong trận giao hữu lượt về tại sân vận động Thuwana ở Yangon, hoàn tất chuyến du đấu với 2 trận toàn thắng. Dù bị dẫn trước 1-0 ở hiệp một do một quả phạt đền gây tranh cãi tại phút 33, đội tuyển đã lật ngược thế trận nhờ sự thay đổi nhân sự của HLV Hoàng Văn Phúc. Văn Quyết vào sân ở hiệp hai và ghi bàn gỡ hòa ở phút 52, trước khi U23 Việt Nam liên tiếp ghi thêm 2 bàn ở những phút cuối—một bàn thắng sau sai lầm của đối phương ở phút 80 và một quả phạt đền của Quang Hùng—để ấn định tỉ số. Kết quả này giúp U23 Việt Nam duy trì chuỗi 8 trận giao hữu bất bại, tạo tâm thế tự tin cho giải đấu BTV Cup 2013 trước thềm SEA Games 27. Dù xảy ra các vụ nổ bom tại Yangon vào đêm 14.10, đoàn thể thao Việt Nam vẫn yên tâm tiếp tục chương trình tập huấn nhằm làm quen với khí hậu và cơ sở hạ tầng trước khi trở về TP.HCM vào ngày 17.10 để chuẩn bị cho giải giao hữu cuối cùng trước khi tham dự SEA Games vào tháng 12.2013."
vn_mds,cluster_101,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7857142857142858,0.4880546075085324,0.37755102040816324,rouge-score,2,1,max_mean_rouge2_rougeL,2749,199,1,4.525242948089726,8,1,"Bộ Y tế đã lên án gay gắt hành vi của bác sĩ Nguyễn Mạnh Tường, viên chức khoa Ngoại Bệnh viện Bạch Mai, liên quan đến vụ việc chị Lê Thị Thanh Huyền tử vong tại Thẩm mỹ viện Cát Tường (quận Hai Bà Trưng, Hà Nội). Vụ việc xảy ra vào ngày nghỉ cuối tuần ngoài giờ hành chính tại một cơ sở không có giấy phép hoạt động phẫu thuật thẩm mỹ, với diễn biến đặc biệt nghiêm trọng bao gồm hành vi phi tang xác bệnh nhân. Bộ Y tế đã chỉ đạo Bệnh viện Bạch Mai và Bệnh viện E phối hợp với cơ quan điều tra để cung cấp thông tin, đồng thời yêu cầu đình chỉ công tác tạm thời đối với bác sĩ Tường. Đồng thời, Bộ Y tế gửi công văn khẩn đề nghị UBND TP Hà Nội phối hợp rà soát, thanh tra toàn diện các hoạt động phẫu thuật thẩm mỹ trên địa bàn và trên toàn quốc."
vn_mds,cluster_102,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7642585551330798,0.4732824427480916,0.5095057034220534,rouge-score,2,0,max_mean_rouge2_rougeL,1026,200,1,4.128335303044878,5,1,"Chiều 4/11, Đội Cảnh sát giao thông Công an TP Thủ Dầu Một (tỉnh Bình Dương) đã công bố quyết định xử phạt hành chính đối với 27 đối tượng có hành vi đua xe trái phép, lạng lách, đánh võng và tổ chức cổ vũ đua xe gây mất an toàn giao thông. Trước đó, trong hai đêm 18 và 19/10, lực lượng chức năng phối hợp tuần tra trên tuyến Quốc lộ 13 (phường Phú Thọ) đã truy bắt được 10 đối tượng thuộc nhóm thanh niên thường xuyên tụ tập đua xe và tịch thu 3 phương tiện vi phạm. Thượng tá Nguyễn Xuân Hoàng, Phó công an TP Thủ Dầu Một, cho biết việc xử lý này nhằm mục đích giáo dục, răn đe các hành vi vi phạm và nhắc nhở phụ huynh chú trọng quản lý việc mua sắm, đi lại của con em."
vn_mds,cluster_103,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7658536585365854,0.36274509803921573,0.34146341463414637,rouge-score,2,0,max_mean_rouge2_rougeL,4939,171,1,5.334018559078686,10,1,"Sáng ngày 21.10, tại quận Gò Vấp, TP.HCM, ông Vương Chí Linh (67 tuổi) đã tạt axit vào người vợ cũ là bà Nguyễn Thị T.V. trước khi vào nhà tự thiêu và tử vong. Bi kịch bắt nguồn từ việc ông Linh cho rằng bà V. đã lừa đảo để chiếm đoạt toàn bộ tài sản trị giá khoảng 30 tỷ đồng và đẩy ông vào cảnh không còn nơi ở sau khi ly hôn. Ông Linh từng nhiều lần khiếu nại về việc tòa án phân xử không công bằng và các biên bản phiên tòa bị sai lệch, nhưng không được giải quyết thỏa đáng. Trước khi tự sát, ông để lại thư tuyệt mệnh và di chúc với nguyện vọng dành phần lớn tài sản cho các cơ sở từ thiện."
vn_mds,cluster_104,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.6634768740031898,0.4256,0.41148325358851673,rouge-score,2,0,max_mean_rouge2_rougeL,2582,196,1,4.55436475307215,5,1,"Ngày 30/10, Công an huyện Lý Nhân (tỉnh Hà Nam) đã khởi tố bị can Phan Văn Sáng về tội cố ý gây thương tích sau khi đối tượng này phóng hỏa vào quầy bán thuốc của chị Trần Thị Quyên vào sáng ngày 27/10. Do uất ức vì không xin nhượng được phần đất tại xóm 7, xã Phú Phúc để mở hiệu thuốc sau này, Sáng đã đập phá tường và dùng chai xăng 1,5 lít tưới vào quầy thuốc rồi bật lửa đốt. Vụ việc khiến chị Quyên cùng hai người khách là bà Bảy và bà Mai bị bỏng nặng với tỷ lệ thương tật lần lượt là 12%, 52% và 17%. Đám cháy được người dân kịp thời dập tắt bằng cát và các nạn nhân đã được đưa đến Bệnh viện bỏng Trung ương để điều trị."
vn_mds,cluster_105,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7416974169741697,0.34814814814814815,0.3210332103321033,rouge-score,2,0,max_mean_rouge2_rougeL,2549,204,1,4.53034557797946,6,1,"Sau khi chị Kê tử vong do treo cổ vào ngày 20/9 sau mâu thuẫn với chồng là anh Trương Văn My, gia đình chị Kê không chấp nhận kết luận của cơ quan pháp y về nguyên nhân tử vong và cho rằng nạn nhân bị sát hại. Dù cơ quan điều tra và Viện Kiểm sát tỉnh Cà Mau đã ra quyết định không khởi tố vụ án hình sự, gia đình ông Tòng vẫn thực hiện hành vi đập mồ và kéo thi hài đi khiếu kiện vào ngày 26/10. Sự việc dẫn đến việc gia đình và nhóm người quá khích kéo đến trụ sở các cơ quan chức năng gây rối trật tự công cộng, khiến Công an TP Cà Mau tạm giữ 19 người để xử lý. Hiện tại, gia đình đã chọn cơ quan pháp y của Bộ Quốc phòng để giám định lại, trong khi các đối tượng gây rối đang bị điều tra và xử lý theo quy định."
vn_mds,cluster_106,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.7818181818181817,0.4840182648401827,0.44545454545454544,rouge-score,2,1,max_mean_rouge2_rougeL,1654,205,1,4.703111696988344,5,1,"Vào lúc 12h30 ngày 1-11, một vụ tai nạn nghiêm trọng đã xảy ra trên quốc lộ 1A, đoạn qua khu vực cầu vượt Bình Phước 1 (TP. Thủ Đức, TP. Hồ Chí Minh), khiến anh Nguyễn Thanh Tùng (35 tuổi, quê An Giang) tử vong tại chỗ. Nguyên nhân ban đầu cho thấy do anh Tùng bất ngờ băng ngang đường trong khi đang mải mê nghe điện thoại nên bị xe tải nặng mang BKS 95T-1199 do tài xế Dương Bình Hải điều khiển tông trực diện và cán qua. Hiện trường vụ việc đã được lực lượng CSGT quận Thủ Đức xử lý xong và thi thể nạn nhân được đưa về nhà xác vào khoảng 15h cùng ngày. Người dân địa phương phản ánh đoạn đường này thường xuyên xảy ra tình trạng người đi bộ không tuân thủ luật giao thông và xe tải đổ dốc với tốc độ nguy hiểm."
vn_mds,cluster_107,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8110599078341013,0.5046296296296297,0.45161290322580644,rouge-score,2,1,max_mean_rouge2_rougeL,1471,188,1,3.8438447769731283,4,1,"Trưa ngày 1/11, người dân tại khu vực giáp ranh xã Hải Ninh và Hải An (huyện Tĩnh Gia, Thanh Hóa) phát hiện xác một con cá voi nặng nhiều tấn dạt vào bờ khi thủy triều rút xuống. Con cá có kích thước khổng lồ với chiều dài trên 10m, vòng ngực khoảng 2,5m, hiện đang trong quá trình phân hủy mạnh và đã bị mất phần đầu và đuôi. Trước đó, nhiều ngư dân cho biết đã thấy một vật thể lạ trôi trên mặt nước ở ngoài khơi và ban đầu họ lầm tưởng đó là xác máy bay. Chính quyền địa phương đang phối hợp xác minh nguyên nhân cái chết và lên phương án chôn cất, đồng thời dự kiến sẽ tổ chức làm lễ thắp hương cho con cá vì đây là loài vật quý hiếm và linh thiêng."
