dataset,sample_id,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,max_summary_words,max_output_tokens,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge1,rouge2,rougeL,rouge_backend,rouge_tokenizer,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,community_count,generated_summary
vims,Cluster_001,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8675324675324676,0.5864759427828349,0.36493506493506495,rouge-score,unicode_char,2,0,max_rouge_tuple,18054,1234,4,28.97730936203152,33,3,"Sáng ngày 19/5, chiếc máy bay Airbus A320 mang số hiệu MS804 của hãng hàng không EgyptAir chở 66 người (bao gồm 56 hành khách và 10 nhân viên) đã mất tích và được xác nhận rơi xuống Địa Trung Hải trên đường bay từ Paris đến Cairo. Máy bay biến mất khỏi radar vào lúc 2h45 sau khi thực hiện các cú rẽ ngoặt và hạ độ cao đột ngột. Các mảnh vỡ máy bay màu trắng và đỏ đã được tìm thấy ở phía Nam đảo Karpathos, Hy Lạp, gần khu vực hệ thống định vị khẩn cấp phát tín hiệu. Hiện tại, Ai Cập đang dẫn đầu ủy ban điều tra với sự phối hợp từ Pháp, Hy Lạp và Mỹ. Bộ trưởng Hàng không dân sự Ai Cập Sherif Fathi cho rằng khả năng máy bay bị tấn công khủng bố bởi bom hẹn giờ cao hơn nhiều so với lỗi kỹ thuật, đặc biệt khi máy bay biến mất đột ngột mà không có tín hiệu cầu cứu. Tuy nhiên, chính phủ Mỹ và Pháp cho rằng còn quá sớm để kết luận và đang tập trung điều tra toàn diện. Các chuyên gia cũng xem xét các giả thuyết khác như tên lửa đất đối không hoặc hư hỏng thân máy bay."
vims,Cluster_002,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.71658615136876,0.5096774193548388,0.4154589371980677,rouge-score,unicode_char,2,1,max_rouge_tuple,3076,316,1,6.936192990047857,7,1,"Trong bài phỏng vấn với đài CNN ngày 19/5, bà Hillary Clinton khẳng định bà sẽ là ứng viên đại diện cho Đảng Dân chủ tranh cử Tổng thống Mỹ, cho rằng việc này ""đã ngã ngũ"". Hiện tại, bà đang nắm ưu thế vượt trội với 2.293 phiếu đại biểu so với 1.528 phiếu của đối thủ Bernie Sanders, dù ông Sanders vẫn quyết tâm theo đuổi đến cùng. Bà Clinton đồng thời chỉ trích gay gắt tỷ phú Donald Trump, người đang tranh cử cho đảng Cộng hòa, và gọi ông là người ""vô trách nhiệm, bất cẩn và phát ngôn nguy hiểm"". Bà cho rằng các quan điểm của ông Trump như khẩu chiến với chính trị gia Anh, sẵn sàng gặp Kim Jong-un, kêu gọi Mỹ rút khỏi NATO và ủng hộ cấm người Hồi giáo nhập cảnh là những mối đe dọa lớn đối với đất nước, nền dân chủ và kinh tế Mỹ. Liên quan đến vụ rơi máy bay MS804 của hãng EgyptAir xuống Địa Trung Hải vào ngày 19/5 với 66 người trên máy bay, bà Clinton nhận định đây có thể là hành vi khủng bố. Bà nhấn mạnh vụ việc làm nổi bật những mối đe dọa từ các nhóm khủng bố có tổ chức."
vims,Cluster_003,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8431163287086446,0.6752136752136753,0.4450373532550694,rouge-score,unicode_char,2,1,max_rouge_tuple,10660,1224,4,23.812059984891675,21,3,"Ngày 20/05, bà Thái Anh Văn chính thức nhậm chức với tư cách là nữ lãnh đạo đầu tiên của Đài Loan sau chiến thắng áp đảo trong cuộc bầu cử tháng 1/2016 trước đối thủ Chu Lập Luân. Lễ tuyên thệ tại Phủ tổng thống ở Đài Bắc có sự chứng kiến của gần 700 nguyên thủ quốc gia và các nhà ngoại giao. Trong bài phát biểu với chủ đề “Niềm tự hào của Đài Loan”, bà khẳng định Đài Loan sẽ là “người bảo vệ trung thành cho hòa bình”, cam kết duy trì hiện trạng ổn định và yêu cầu Bắc Kinh tôn trọng nền dân chủ của đảo quốc này. Tuy nhiên, bà Thái Anh Văn phải đối mặt với thách thức lớn trong việc vực dậy nền kinh tế đang suy thoái do xuất khẩu giảm mạnh và giải quyết mối quan hệ nguội lạnh với Trung Quốc. Trong khi Bắc Kinh kiên quyết yêu cầu tuân thủ nguyên tắc ""một Trung Quốc"" và tiến hành các cuộc tập trận quân sự quy mô lớn, Lầu Năm Góc cảnh báo về kế hoạch ""đổ bộ xâm chiếm Đài Loan"" của Trung Quốc. Để giảm sự phụ thuộc vào Trung Quốc, Đài Loan đang thúc đẩy chính sách ""hướng Nam"" nhằm tăng cường hợp tác kinh tế với các quốc gia Đông Nam Á."
vims,Cluster_004,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8343234323432343,0.540647719762062,0.38019801980198015,rouge-score,unicode_char,2,0,max_rouge_tuple,24267,1583,5,37.9080142310122,54,4,"Hội thảo ""TP. HCM - Khát vọng vươn lên"" do báo Tuổi Trẻ tổ chức ngày 19/5 đã thu hút đông đảo trí thức và chuyên gia nhằm tìm kiếm giải pháp phát triển cho thành phố. Tại sự kiện, Tổng biên tập Tăng Hữu Phong đã trao tận tay Chủ tịch UBND TP. HCM Nguyễn Thành Phong hơn 9.500 ý kiến hiến kế từ người dân. Các đại biểu thống nhất rằng năm 2016 là cột mốc 30 năm đổi mới, đòi hỏi những hành động quyết liệt để thay đổi diện mạo đô thị. Các chuyên gia nhận định TP.HCM đang đối mặt với sự tụt hậu về năng lực cạnh tranh so với các đô thị lớn trong khu vực do cơ chế ""xin-cho"", sự phân bổ ngân sách chưa hợp lý và thiếu tầm nhìn dài hạn. Để giải quyết, các đại biểu đề xuất đột phá thể chế, xóa bỏ các ""vòng kim cô"" quản lý, và thực hiện các chương trình đột phá như cải cách hành chính, chỉnh trang đô thị và giảm ngập nước. Do thiếu hụt nguồn vốn, xã hội hóa qua hình thức đối tác công tư (PPP) được xem là giải pháp trọng yếu. Các giải pháp chiến lược bao gồm phát triển bán đảo Thủ Thiêm, hiện đại hóa giao thông công cộng và kiểm soát di cư lao động trình độ thấp."
vims,Cluster_005,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8456659619450317,0.6534932956951306,0.5369978858350951,rouge-score,unicode_char,2,0,max_rouge_tuple,6953,946,3,17.97872535395436,15,2,"Ông Phạm Việt Thắng, Chủ tịch Hội Nghề cá Việt Nam, vừa gửi công văn đề nghị Chính phủ và các bộ ngành đẩy nhanh tiến độ xác định nguyên nhân cá chết hàng loạt tại các tỉnh miền Trung (từ Hà Tĩnh đến Thừa Thiên - Huế) xảy ra từ tháng 4 đến tháng 5 năm 2016. Hội Nghề cá bày tỏ lo ngại việc chậm trễ công bố kết quả sẽ khiến chất độc trong trầm tích đáy biển bị pha loãng, đồng thời các mẫu cá chết lưu tại phòng kiểm nghiệm sắp hết hạn và bị tiêu hủy, gây khó khăn cho việc truy tìm nguyên nhân chính xác. Hiện nay, người dân ven biển và hộ nuôi cá, nuôi tôm vẫn chưa thể hoạt động bình thường. Hội đề nghị Chính phủ tiếp tục hỗ trợ 15kg gạo/tháng cho mỗi thành viên gia đình bị thiệt hại cho đến khi sản xuất phục hồi. Nếu nguyên nhân do con người gây ra, Hội yêu cầu thủ phạm phải chịu trách nhiệm pháp lý, hoàn trả chi phí hỗ trợ của Chính phủ và bồi thường thiệt hại tài nguyên, môi trường. Việc xác định sớm nguyên nhân còn nhằm trấn an dư luận, đảm bảo an toàn thực phẩm và tuân thủ Hiệp định SPS của WTO."
vims,Cluster_006,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8735224586288416,0.6461538461538462,0.4326241134751773,rouge-score,unicode_char,2,1,max_rouge_tuple,9050,898,3,18.685746020055376,20,2,"Vào khoảng 13 giờ ngày 19.5, tại thị trấn Thanh Sơn, huyện Sơn Động, tỉnh Bắc Giang, cơ quan chức năng phát hiện cặp vợ chồng anh Đỗ Viết Tuấn (sinh năm 1983) và chị Vũ Thị Lan (sinh năm 1985), quê ở huyện Thiệu Hóa, tỉnh Thanh Hóa, tử vong bất thường. Cả hai đều đang làm việc tại một công ty than trên địa bàn huyện và có hoàn cảnh kinh tế khó khăn, thường xuyên xảy ra mâu thuẫn. Theo điều tra ban đầu, chị Lan tử vong tại nhà trọ trong tư thế bị trói chặt chân tay và cổ bị siết. Trong khi đó, anh Tuấn tử vong tại phòng bảo vệ của công ty do nổ mìn tự sát sau khi quay lại làm việc vào khoảng 12 giờ. Hiện trường cho thấy cửa nhà trọ bị khóa bên ngoài. Giả thuyết ban đầu cho rằng do mâu thuẫn kéo dài, anh Tuấn đã sát hại vợ rồi đến công ty tự sát để tránh bị phát hiện. Tuy nhiên, cơ quan công an vẫn đang tiếp tục điều tra, lấy lời khai nhân chứng và khám nghiệm hiện trường để làm rõ nguyên nhân chính xác, do hiện chưa có kết luận chính thức về việc có sự tham gia của người thứ ba hay các tình tiết khác."
vims,Cluster_007,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8881118881118881,0.7047841306884481,0.48717948717948717,rouge-score,unicode_char,2,1,max_rouge_tuple,4994,920,3,17.04480032797437,11,2,"Vào khoảng 15h ngày 19/5, một vụ tai nạn lao động thương tâm đã xảy ra tại bãi thu mua lốp xe cũ của gia đình ông Trần Hữu Trung (SN 1982) tại số 93 đường Giải Phóng, phường Tân Thành, TP. Buôn Ma Thuột, tỉnh Đắk Lắk. Nạn nhân là anh Phạm Đức Huy (SN 1985, 31 tuổi, trú tại phường Khánh Xuân) đã tử vong do bị điện giật trong quá trình làm việc. Theo thông tin ban đầu, anh Huy đến bãi tập kết để bốc lốp xe lên ô tô tải mang BKS 47C-114.26. Khi phát hiện thùng xe bị hư, anh đã chủ động kéo điện để hàn lại. Trong quá trình thực hiện, anh bị điện giật dẫn đến bất tỉnh nhân sự. Khoảng 20 phút sau, ông Trung ra ngoài và phát hiện anh Huy nằm bất động trên đất, toàn bộ xe bị nhiễm điện. Ông đã lập tức hô hoán mọi người hỗ trợ, ngắt nguồn điện và đưa nạn nhân đến Bệnh viện Đa khoa tỉnh Đắk Lắk cấp cứu, nhưng anh Huy đã tử vong trước khi nhập viện. Hiện, lực lượng Công an TP. Buôn Ma Thuột đã có mặt tại hiện trường để khám nghiệm, lấy lời khai và điều tra làm rõ nguyên nhân vụ việc. Thi thể nạn nhân đã được bàn giao cho gia đình để lo hậu sự."
vims,Cluster_008,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8240343347639486,0.5979128299570289,0.3960760269773145,rouge-score,unicode_char,2,1,max_rouge_tuple,7667,950,3,18.32208957709372,15,2,"Lực lượng Cảnh sát giao thông (CSGT) đang quyết liệt xử lý các phương tiện vi phạm trên các tuyến phố Thủ đô, trọng tâm là xe ba bánh giả danh xe thương binh, xe quá ""đát"" và xe chở hàng cồng kềnh. Qua kiểm tra, hầu hết các chủ phương tiện này không xuất trình được thẻ thương binh, thẻ bảo hiểm y tế cho người có công, xác nhận của chính quyền địa phương, hay giấy tờ đăng ký xe và bằng lái. Nhiều phương tiện đã quá hạn sử dụng, hư hỏng đèn còi, khung máy hoen gỉ và gây ô nhiễm môi trường nghiêm trọng. Cụ thể, trong sáng 19/5, Đội CSGT số 4 đã xử lý nhiều trường hợp vi phạm tại cầu Mai Động, trong khi Đội CSGT số 14 tạm giữ 40 xe ba bánh vi phạm, bao gồm 28 xe tự chế. Tại tuyến đường Giải Phóng – Kim Đồng, lực lượng chức năng đã huy động xe cẩu và xe nâng để xử lý các xe ba bánh giả thương binh tập trung đông đúc. Đội CSGT số 3 cũng ghi nhận xử phạt hơn 200 trường hợp trong 7 ngày, bao gồm 20 xe giả thương binh."
vims,Cluster_009,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.722871452420701,0.5869565217391305,0.4507512520868114,rouge-score,unicode_char,2,1,max_rouge_tuple,2090,292,1,5.684494387009181,7,1,"Vào lúc 14g28 ngày 19/5 (giờ địa phương), một loạt vụ nổ khí ga và các khoang chứa oxy đã xảy ra tại căn cứ quân sự Carroll của quân đội Mỹ ở tỉnh Gyeongsang, cách thủ đô Seoul 280 km về phía đông nam. Theo thông tin từ các quan chức Hàn Quốc, khoảng 20 khoang chứa oxy nặng 50 kg cùng một số khoang nhỏ hơn đã phát nổ, gây ra đám cháy lớn khiến một căn nhà tại căn cứ bị thiêu rụi hoàn toàn. Các mảnh vỡ từ vụ nổ đã văng ra xa, gây cháy ở một số nhà dân và hai trang trại lân cận. Lực lượng chức năng đã huy động 18 xe cứu hỏa đến hiện trường và dập tắt đám cháy trong vòng chưa đầy một giờ đồng hồ. Hiện chưa có báo cáo về thương vong, và thiệt hại cụ thể vẫn đang được thống kê. Quân đội Mỹ hiện đang tiến hành điều tra nguyên nhân chính xác của vụ nổ, trong khi thông tin từ phía Mỹ chỉ xác nhận có vụ nổ khoang chứa oxy mà không nêu rõ số lượng cụ thể. Căn cứ này hiện là nơi đồn trú của khoảng 28.500 binh lính Mỹ nhằm răn đe sự xâm lược tiềm tàng từ Triều Tiên."
vims,Cluster_010,graphsum,e2b,0.1,0.3,0.6000000000000001,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,235,380,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,0.8204545454545454,0.6370875995449374,0.4897727272727273,rouge-score,unicode_char,2,1,max_rouge_tuple,7629,992,3,19.45210577303078,17,2,"Bà Nông Thị Tươi (45 tuổi, trú tại huyện Phú Thiện, Gia Lai) đã gửi đơn cầu cứu đến Công an TP Pleiku vì bị Phạm Ngọc Hùng (57 tuổi, trú tại xã Trà Đa, TP Pleiku) lừa đảo. Hùng tự xưng là phóng viên Báo Công an TP Đà Nẵng, đồng thời mạo danh nguyên cán bộ A43 hoặc đơn vị A35 của Bộ Công an để nhận 100 triệu đồng tiền ""chạy việc"" cho cháu bà là Dương Hoàng Phú vào công an chuyên nghiệp. Tuy nhiên, Hùng không thực hiện được công việc, liên tục trốn tránh và thách thức khi bà yêu cầu trả lại tiền. Qua điều tra, Hùng còn lừa đảo nhiều người khác tại huyện Phú Thiện bằng chiêu bài tương tự, bao gồm việc nhận 6 triệu đồng để chạy cho con gái bà Hoàng Thị Bạch vào trường Trung cấp Quân y. Đại tá Nguyễn Hải Thuận, lãnh đạo Báo Công an TP Đà Nẵng, khẳng định cơ quan không có nhân viên nào tên Phạm Ngọc Hùng và đề nghị cơ quan chức năng xử lý hành vi giả mạo. Công an TP Pleiku đang điều tra làm rõ vụ việc và kêu gọi các nạn nhân liên hệ số điện thoại trực ban 0593.821.625 để trình báo."
